Gene,UniProt ID,Protein name,Protein ChEMBL ID,Drug ChEMBL ID,Drug name,Drug Mechanism ChEMBL,Activity type ChEMBL,Activity value ChEMBL,pChEMBL value,Max phase ChEMBL,Action type ChEMBL,Mechanism of Action ChEMBL
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL601719,CRIZOTINIB,Да,IC50,= 20.0 nM,7.70,Approved,INHIBITOR,Hepatocyte growth factor receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL2403108,CERITINIB,Да,IC50,= 40.7 nM,7.39,Approved,INHIBITOR,ALK tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1738797,ALECTINIB,Да,IC50,= 1.9 nM,8.72,Approved,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3545360,ASP-3026,Да,N/A,N/A,N/A,Phase 1,INHIBITOR,ALK tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3951811,CEP-37440,Да,IC50,= 3.1 nM,8.51,Phase 1,INHIBITOR,ALK tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL4113131,ENSARTINIB,Да,IC50,= 1.0 nM,N/A,Phase 3,INHIBITOR,ALK tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3545311,BRIGATINIB,Да,IC50,= 0.37 nM,9.43,Approved,INHIBITOR,ALK tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3286830,LORLATINIB,Да,Ki,= 0.7 nM,9.15,Approved,INHIBITOR,ALK tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1983268,ENTRECTINIB,Да,Ki,= 1.0 nM,9.00,Approved,INHIBITOR,Neurotrophic tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL4650298,PLB1003,Да,N/A,N/A,N/A,Phase 1,INHIBITOR,ALK tyrosine kinase receptor inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL3899477,CONTELTINIB ,Да,N/A,N/A,N/A,Phase 1,INHIBITOR,Focal adhesion kinase 1 inhibitor
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL509032,TAE-684,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL513897,GSK-994854A,Нет,IC50,= 1.0 nM,9.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL514873,,Нет,IC50,= 0.4 nM,9.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL507625,,Нет,IC50,= 0.5 nM,9.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1164180,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1163559,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1163566,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL458997,,Нет,IC50,= 5.0 nM,8.30,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642253,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642255,,Нет,IC50,= 7.0 nM,8.15,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642257,,Нет,IC50,= 10.0 nM,8.00,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642258,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642260,,Нет,IC50,= 4.0 nM,8.40,,N/A,N/A
ALK,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,CHEMBL1642261,,Нет,IC50,= 6.0 nM,8.22,,N/A,N/A
