Unnamed: 0,difference,p-val,p-adj,result
ARL4C,0.496851075,0.00294189,0.730907251,ЛОЖЬ
HIST1H1E,0.49390577,0.001222711,0.558506461,ЛОЖЬ
MYH15,0.486618967,0.000306884,0.387266503,ЛОЖЬ
RAG1,0.479525071,0.004653249,0.75868054,ЛОЖЬ
RORB,0.479221144,0.006021957,0.769784855,ЛОЖЬ
TMSB15A,0.47738626,0.006511218,0.77332025,ЛОЖЬ
CNOT7P1,0.476190665,0.001401737,0.569977354,ЛОЖЬ
LRRD1,0.475262909,0.000963634,0.527791961,ЛОЖЬ
ADAM20P1,0.473012204,0.002719229,0.7107913,ЛОЖЬ
MX1,0.469553116,0.007152332,0.77332025,ЛОЖЬ
LINC01237,0.460503461,0.008544762,0.77332025,ЛОЖЬ
SNCAIP,0.452003485,0.00546305,0.75868054,ЛОЖЬ
CFAP99,0.450753265,0.000608925,0.492000909,ЛОЖЬ
PI15,0.447939387,0.005133554,0.75868054,ЛОЖЬ
SH2D3C,0.445285009,0.000704438,0.492000909,ЛОЖЬ
RPL31P63,0.435367997,0.001261029,0.558506461,ЛОЖЬ
AOX1,0.428748698,0.008091853,0.77332025,ЛОЖЬ
B3GNT7,0.425793317,0.007685967,0.77332025,ЛОЖЬ
LINC02487,0.423918771,0.008625583,0.77332025,ЛОЖЬ
PLEK2,0.408024258,0.009316261,0.77332025,ЛОЖЬ
LINC01068,0.396735718,0.006923945,0.77332025,ЛОЖЬ
OXCT1,0.38919843,0.0056515,0.75868054,ЛОЖЬ
