Unnamed: 0,difference,p-val,p-adj,result
A1CF,0.459980286,0.001658874,1.0,ЛОЖЬ
ABCC3,0.435930056,5.05988e-05,0.084168866,ЛОЖЬ
ANXA1,0.387340652,0.001969482,1.0,ЛОЖЬ
CCL2,0.097919006,0.000187836,0.286418018,ЛОЖЬ
CD68,0.399820247,0.004545991,1.0,ЛОЖЬ
COL14A1,0.459980286,0.001658874,1.0,ЛОЖЬ
CRB2,0.358492213,0.00877187,1.0,ЛОЖЬ
ENTPD2,0.381954948,0.000639738,0.755221272,ЛОЖЬ
ENTPD3,0.459980286,0.001658874,1.0,ЛОЖЬ
EVA1A,0.403826229,0.00072989,0.834720912,ЛОЖЬ
GDF6,0.459980286,0.001658874,1.0,ЛОЖЬ
GFRA1,0.329307138,0.006012523,1.0,ЛОЖЬ
GPR4,0.459980286,0.001658874,1.0,ЛОЖЬ
ICAM1,0.272494614,0.001356328,1.0,ЛОЖЬ
LINC00637,0.314363789,0.006727152,1.0,ЛОЖЬ
LMF1-AS1,0.459980286,0.001658874,1.0,ЛОЖЬ
LRRC15,0.459980286,0.001658874,1.0,ЛОЖЬ
NAT2,0.395758661,0.00967812,1.0,ЛОЖЬ
NIPAL4,0.40083874,0.002059711,1.0,ЛОЖЬ
PLAT,0.487386268,0.000463984,0.579204075,ЛОЖЬ
POLD2P1,0.395758661,0.00967812,1.0,ЛОЖЬ
POMC,0.357672062,0.004155094,1.0,ЛОЖЬ
RDH10,0.472703029,0.00659537,1.0,ЛОЖЬ
RN7SL724P,0.459980286,0.001658874,1.0,ЛОЖЬ
RNU2-17P,0.459980286,0.001658874,1.0,ЛОЖЬ
RNU6-781P,0.459980286,0.001658874,1.0,ЛОЖЬ
RPL12P38,0.395758661,0.00967812,1.0,ЛОЖЬ
RPL18AP2,0.459980286,0.001658874,1.0,ЛОЖЬ
RPL23AP20,0.351336266,0.001910896,1.0,ЛОЖЬ
SCN11A,0.434481928,0.006601529,1.0,ЛОЖЬ
SERPINE1,0.318644715,0.001807,1.0,ЛОЖЬ
SHBG,0.425901998,0.001929559,1.0,ЛОЖЬ
SPDYE20P,0.459980286,0.001658874,1.0,ЛОЖЬ
STARD13-AS,0.459980286,0.001658874,1.0,ЛОЖЬ
TRABD2B,0.436343753,0.009290394,1.0,ЛОЖЬ
TRAF1,0.417436466,0.003777833,1.0,ЛОЖЬ
ULBP2,0.393335232,0.002991521,1.0,ЛОЖЬ
ZNF215,0.459980286,0.001658874,1.0,ЛОЖЬ
