Unnamed: 0,difference,p-val,p-adj,result
C22orf31,2.017767063,3.20781E-06,0.005869645,ИСТИНА
DISC1-IT1,2.017767063,3.20781E-06,0.005869645,ИСТИНА
FABP5P7,2.786742032,0.001335747,1,ЛОЖЬ
FAM189A2,2.017767063,3.20781E-06,0.005869645,ИСТИНА
FUT6,2.678385797,0.005238271,1,ЛОЖЬ
FXYD2,2.70882662,0.009577497,1,ЛОЖЬ
GAPDHP21,2.017767063,3.20781E-06,0.005869645,ИСТИНА
HNRNPA1P4,2.70882662,0.009577497,1,ЛОЖЬ
HOXD1,2.70882662,0.009577497,1,ЛОЖЬ
IL16,2.678385797,0.005238271,1,ЛОЖЬ
IL31RA,2.017767063,3.20781E-06,0.005869645,ИСТИНА
LINC00365,2.7016229,0.008596079,1,ЛОЖЬ
LINC01058,2.017767063,3.20781E-06,0.005869645,ИСТИНА
LINC01378,2.017767063,3.20781E-06,0.005869645,ИСТИНА
LINC02197,2.678385797,0.005238271,1,ЛОЖЬ
LY86-AS1,3.035534127,3.20781E-06,0.005869645,ИСТИНА
MIR6835,3.501777938,0.002858789,1,ЛОЖЬ
NHLH2,3.362241634,0.001266341,1,ЛОЖЬ
NUTM2HP,2.017767063,3.20781E-06,0.005869645,ИСТИНА
P4HTM,2.678385797,0.005238271,1,ЛОЖЬ
PHBP3,2.017767063,3.20781E-06,0.005869645,ИСТИНА
POU5F2,2.017767063,3.20781E-06,0.005869645,ИСТИНА
RIMKLBP1,2.017767063,3.20781E-06,0.005869645,ИСТИНА
RNA5SP490,2.017767063,3.20781E-06,0.005869645,ИСТИНА
RNF138P1,2.017767063,3.20781E-06,0.005869645,ИСТИНА
RNU2-33P,2.017767063,3.20781E-06,0.005869645,ИСТИНА
RNU2-51P,3.362241634,0.001266341,1,ЛОЖЬ
RNU7-3P,2.70882662,0.009577497,1,ЛОЖЬ
RPL30P2,2.017767063,3.20781E-06,0.005869645,ИСТИНА
RPS2P4,2.017767063,3.20781E-06,0.005869645,ИСТИНА
S100A1,2.021147398,0.000441152,0.579204075,ЛОЖЬ
SNORA7B,2.287313338,0.006744166,1,ЛОЖЬ
SNORA80E,2.80803545,0.009112206,1,ЛОЖЬ
SNORD59A,2.996261387,0.001731537,1,ЛОЖЬ
SRSF9P1,2.7016229,0.008596079,1,ЛОЖЬ
VN1R34P,2.017767063,3.20781E-06,0.005869645,ИСТИНА
VN1R87P,2.017767063,3.20781E-06,0.005869645,ИСТИНА
ZFYVE9P1,2.017767063,3.20781E-06,0.005869645,ИСТИНА
