ModelID,primary_disease_renamed,log2_fold_change
ACH-000001,Ovarian Cancer,-3.27890488545517
ACH-000002,AML,-10.6375786915202
ACH-000004,AML,-4.38078004853867
ACH-000005,AML,-4.19503619876481
ACH-000006,AML,-5.8425004523136
ACH-000007,Colon/Colorectal Cancer,-3.3958746292262
ACH-000008,Melanoma,-3.32596473778559
ACH-000011,Bladder Cancer,-4.08217403999353
ACH-000012,Lung Cancer,-3.08937617039242
ACH-000013,Ovarian Cancer,-7.01428225398574
ACH-000014,Melanoma,-2.16081364861919
ACH-000015,Lung Cancer,-2.37047591321227
ACH-000018,Bladder Cancer,-3.62511683027406
ACH-000019,Breast Cancer,-1.80684015313376
ACH-000021,Lung Cancer,-2.37430397675914
ACH-000022,Pancreatic Cancer,-3.1624386448192
ACH-000023,Pancreatic Cancer,-3.12719824980965
ACH-000026,Bladder Cancer,-2.66709557637361
ACH-000027,Glioma,-3.76183492538051
ACH-000030,Lung Cancer,-6.65462897510837
ACH-000035,Lung Cancer,-2.54421955173134
ACH-000036,Glioma,-7.11604992672991
ACH-000037,Sarcoma,-3.59201353309731
ACH-000039,Ewing Sarcoma,-5.97102737536766
ACH-000040,Glioma,-6.37442543065019
ACH-000041,Ewing Sarcoma,-4.71671677448273
ACH-000042,Pancreatic Cancer,-3.80843890959946
ACH-000046,Kidney Cancer,-3.81991369173777
ACH-000047,Gastric Cancer,-4.60209601515014
ACH-000048,Ovarian Cancer,-8.40663859541568
ACH-000051,Rhabdomyosarcoma,-6.15785861754157
ACH-000052,Ewing Sarcoma,-9.5894398638592
ACH-000053,Lymphoma,-5.00812892141487
ACH-000054,Sarcoma,-10.3203831795612
ACH-000056,Lymphoma,-6.44644917932699
ACH-000059,ALL,-4.42680911831465
ACH-000060,Pancreatic Cancer,-3.2688022816897
ACH-000061,Lymphoma,-4.41693189711315
ACH-000062,Lung Cancer,-7.9197548403683
ACH-000065,AML,-6.95118138268917
ACH-000066,Lung Cancer,-2.64597228712008
ACH-000067,Glioma,-5.05804539180272
ACH-000069,Lymphoma,-3.62622359998178
ACH-000070,ALL,-4.60656715631451
ACH-000072,CML,-1.99400190435655
ACH-000073,Lymphoma,-3.65425108142845
ACH-000074,CML,-10.3759900247709
ACH-000075,Glioma,-5.95717657230859
ACH-000076,CML,-3.89452920700463
ACH-000078,Neuroblastoma,-4.20643706708864
ACH-000080,AML,-6.57728173751394
ACH-000082,Bone Cancer,-2.68608431747709
ACH-000085,Pancreatic Cancer,
ACH-000086,Lung Cancer,-1.96835583109921
ACH-000087,Ewing Sarcoma,-6.79312852427772
ACH-000090,Prostate Cancer,-2.6311161182982
ACH-000091,Ovarian Cancer,-2.9187205431858
ACH-000092,Lung Cancer,-2.46422128013377
ACH-000093,Pancreatic Cancer,-2.89397111711412
ACH-000094,Pancreatic Cancer,-3.43759153360361
ACH-000096,Rhabdoid ATRT Cancer,-9.85003278885088
ACH-000097,Breast Cancer,-3.03693662352312
ACH-000098,Glioma,-6.94868190785844
ACH-000099,Neuroblastoma,-3.84478457805284
ACH-000101,ALL,-6.89834433116027
ACH-000102,Glioma,
ACH-000105,ALL,-2.80999262668916
ACH-000107,Pancreatic Cancer,-1.43779009019143
ACH-000108,Pancreatic Cancer,-2.92631724081223
ACH-000113,AML,-8.58005002732498
ACH-000114,Pancreatic Cancer,
ACH-000116,Ovarian Cancer,
ACH-000117,Breast Cancer,-3.13800583468838
ACH-000118,Pancreatic Cancer,-5.70590237402337
ACH-000120,Neuroblastoma,-4.18273162589008
ACH-000122,ALL,-4.7386339324592
ACH-000123,Ovarian Cancer,-5.42662841528225
ACH-000124,Lymphoma,-5.51369001957596
ACH-000129,Lung Cancer,-2.05592409786208
ACH-000132,Ovarian Cancer,-2.79423254279317
ACH-000137,Glioma,-2.50909098095398
ACH-000138,Pancreatic Cancer,-3.31783494936959
ACH-000139,Pancreatic Cancer,-4.23888952652559
ACH-000141,Gallbladder Cancer,-2.53357686397943
ACH-000142,Bladder Cancer,-4.83104233270472
ACH-000144,Gastric Cancer,-2.08051191469019
ACH-000145,Sarcoma,-5.3454545542077
ACH-000146,AML,-2.95051979878578
ACH-000147,Breast Cancer,-2.3683577210297
ACH-000149,Neuroblastoma,-7.93560018652493
ACH-000151,ALL,-5.65432746793886
ACH-000152,Glioma,-0.797318988267429
ACH-000153,Lung Cancer,-2.83318167515507
ACH-000155,Pancreatic Cancer,-1.93235566910374
ACH-000158,Lymphoma,-6.03967628116713
ACH-000159,Kidney Cancer,-1.50985509608849
ACH-000160,Rhabdoid ATRT Cancer,-3.99294322491817
ACH-000161,Lung Cancer,-2.39129375817867
ACH-000163,Head and Neck Cancer,-3.38235211064392
ACH-000164,Pancreatic Cancer,-4.84171678536796
ACH-000167,Myeloma,-5.13102660902727
ACH-000168,AML,-5.2170339356818
ACH-000169,Rhabdomyosarcoma,-4.66056151572102
ACH-000171,Kidney Cancer,-2.76389102126948
ACH-000172,Rhabdoid ATRT Cancer,-3.78511418601908
ACH-000174,Thyroid Cancer,-7.16155156491505
ACH-000176,Lung Cancer,-2.74535455890689
ACH-000178,Pancreatic Cancer,-0.753864609249356
ACH-000181,Head and Neck Cancer,-4.71872538942104
ACH-000182,Bile Duct Cancer,-3.14499842807217
ACH-000183,Myeloma,-3.50650772595249
ACH-000186,Lung Cancer,-5.14200393354543
ACH-000188,Head and Neck Cancer,-11.7613104652277
ACH-000189,Kidney Cancer,-2.74186857617877
ACH-000190,AML,-2.46482891112883
ACH-000191,Thyroid Cancer,-4.23108970565367
ACH-000192,Endometrial/Uterine Cancer,-0.826353363140434
ACH-000193,Myeloma,-7.68499976281739
ACH-000197,ALL,-1.45891460220889
ACH-000198,AML,3.27048163425423
ACH-000200,Glioma,
ACH-000201,Rhabdoid ATRT Cancer,-3.34140098654211
ACH-000202,Colon/Colorectal Cancer,-1.99333580539948
ACH-000204,Myeloma,-4.38200936049669
ACH-000205,Pancreatic Cancer,-2.45414919053459
ACH-000206,Lymphoma,-4.36831096435025
