,ABL1_expression,ABL2_expression,AXL_expression,BMX_expression,BTK_expression,CAMK1D_expression,CAMK2G_expression,CAV1_expression,CSK_expression,EGFR_expression,EPHB4_expression,FER_expression,FES_expression,FGR_expression,FRK_expression,FYN_expression,HCK_expression,LCK_expression,LYN_expression,MAP4K2_expression,MAP4K5_expression,MINK1_expression,PTK2_expression,PTK2B_expression,SIK1_expression,SIK2_expression,SIK3_expression,SRC_expression,STK10_expression,STK24_expression,STK4_expression,SYK_expression,TBK1_expression,TEC_expression,TNK2_expression,YES1_expression
ABL1_depscore,0.02664199760169696,0.1466059914113134,0.20430832107032726,-0.020217603179241105,-0.2227945589260776,-0.03876228292090547,0.02362728486473454,0.2341478896209544,-0.07664676138483528,0.16728648351592848,0.04576604770837944,0.03336456326728506,-0.15799663785869614,-0.03918995773736598,-0.019602903868570925,0.032033163476062304,-0.07841204639742219,-0.031078709118586158,-0.10263955118750277,-0.024825614176132178,0.07872345330646477,0.009546349031177206,0.03695914244976627,-0.13128285363973627,0.09551825328017614,0.03657944907992263,-0.08585016157202592,0.11137852249868622,0.024891195461617603,-0.002400353398380175,0.04939929408103416,-0.1163361628113217,0.07414060640651124,-0.13566925816598588,-0.004112733635662806,0.06009125574338432
ABL2_depscore,0.07826510598852872,0.0651507657679053,0.03951735612603641,0.031435980870292014,0.009484279149091543,0.08347141715826187,0.016891804671966777,0.06140105359431131,0.00972386408018202,-0.0035029525904751026,-0.03716691299823072,0.05837108232635656,0.0028716776493844945,0.04394903530303434,-0.0809132876723199,0.021396846909267218,-0.021370484371392464,-0.028920025997539955,0.030592003011694704,0.018206989619406515,0.003622685187172659,-0.018766487776757046,-0.006414543261349757,0.02497019502855616,0.026832346649405283,0.044946407007606326,0.005987390411031595,-0.01442712989182874,0.03464348559828363,-0.02903975109983228,0.07403568660458011,-0.0638934469043117,-0.026640518239228625,0.011742233193063795,0.019501242319130523,-0.017884092545205014
AXL_depscore,-0.05605645853918605,-0.1153203455976484,-0.16990885499653727,0.03483977506545425,-0.015984815800130742,-0.028308827267319304,0.0005807257583239011,-0.13596361721618658,0.032601892708558296,-0.03652466770825483,-0.04206655603670413,-0.039142591495645945,-0.04784543285100218,0.01032442034719642,0.077578625344294,-0.015363241791382235,0.022315732936363644,0.06644520822314087,0.03811046015232817,-0.0183861135642591,0.007757399665702438,0.07660826640183956,0.0034342998263552148,0.03114863898769741,0.00228980202054343,-0.033961160202479246,-0.010060007152542919,0.066573959662477,-0.08802956839606824,0.026411013715286872,-0.03661196030289169,0.09757735056096883,-0.03799748394970311,-0.08281699698160522,0.03933017236019531,-0.0695450590299539
BMX_depscore,-0.013690481420591703,0.012399251358342755,0.03610469374859357,0.008379381571591096,0.006900244036060096,0.017846026279734997,-0.0004478202702828349,0.03023713408635681,0.01820400991675192,0.026070102600638675,-0.056568652954898206,0.07199978776410429,0.023455211635214024,-0.0030832862296389088,-0.016204636860634926,0.041330588088194974,0.021540353093861712,0.013499145854614605,0.02953668797394434,-0.02580886215618439,0.04353958286127099,-0.018003951407099653,-0.03190498968672483,0.06101454941394492,0.03088858716473075,-0.0710186377095279,-0.06799567490288935,0.00508850585463891,0.026692479787432114,0.04683440849305265,0.010676131156065416,-0.018459202183465268,-0.05227757410019332,-0.03166797196453477,-0.038512380458701416,-0.05598478535788197
BTK_depscore,0.09824855136858984,0.16095569754851713,0.18386056425139904,0.04523019715855531,-0.301643010569671,-0.13402213300238974,-0.02281160000466649,0.15735234682717059,-0.1662985968100113,0.16740324581388435,0.1781930973082834,0.09274156457161409,-0.09576523008550447,-0.23044122923768395,0.0023630835774261483,0.038519691263397556,-0.17715472062600537,-0.17528519395344125,-0.1258276368147209,-0.16368859381904677,0.13674051309368818,0.014219785059905269,0.21789596925520677,-0.20712111517406245,0.07002852245151586,0.04028902530703115,-0.0721854961658278,0.1513361202231647,-0.06108682594276322,0.018399336860954203,-0.16455336525132183,-0.18523853738492066,-0.017786695960267943,-0.08873651298861947,-0.09642623244893453,0.24893443553849184
CAMK1D_depscore,0.03983804040071067,-0.036541654464514725,-0.08218702852074856,0.021361808857287428,-0.0026247189580777524,0.01768488381930472,-0.0058126581082985004,-0.104523626206124,0.06313160492475817,-0.08789579877887907,0.0010581978790011675,-0.04624898086610277,0.04013266150876087,0.014579175737769085,-0.008384473874837019,0.043680270716686447,-0.006483852291623143,-0.043842837357904334,0.031982702642161374,0.03493537487904543,0.030656262280912287,0.05091912477065329,0.005407741927981535,-0.009285791272085613,-0.048357539531672634,0.0208870018456711,0.04545537050667511,0.019766562494072375,-0.019808971492275017,-0.001315466665508397,0.03521757517211861,-0.010379835130112742,0.03270113464022474,-0.012500618696261978,-0.011065163996241188,0.021048553228193687
CAMK2G_depscore,-0.020605976138443026,0.05434340718896643,0.08336187747271984,-0.004989847803092009,-0.04453684084748351,-0.028963458778734245,-0.04018513405864328,0.08079093482249408,-0.04455477837927235,0.06807137175768811,-0.017269874656635528,0.02407010886421728,0.027181492829200585,-0.02258965614184352,0.008611168384928133,-0.00684888308740387,-0.08827002620692544,-0.07556474999526268,0.06344551742612711,-0.098992893723073,-0.019374567143368097,-0.03399772012104077,0.023859937291078725,-0.02331062946648457,0.04026589038744462,0.02505081397244427,-0.06602336061516742,0.02920947449554091,0.00394696560592396,0.03971039057437813,-0.0418212966533779,0.0038639886119278422,-0.014435801696498024,-0.0005620056836577425,-0.06322367771497486,-0.008308490659823803
CAV1_depscore,0.013547366556644121,-0.017297006233271742,0.02127513934882572,0.017867636934364526,-0.007599495484687039,-0.05546146843478654,-0.021491055272919554,0.06042450063326219,0.011146452852975008,0.08914789745836202,-0.06114432275513099,0.026732956960933973,0.008332600393823003,0.030690180920938767,0.018197831633708875,0.02447356440060845,-0.012657915498915368,0.031037110914677743,0.09264294321169696,-0.0466446938839769,-0.005766240652398963,0.010720639328768869,-0.02740353361154434,0.0658261112188182,0.029302521445749,-0.049906798014269976,-0.061535337336370816,0.07160073223858263,0.04773224096028795,0.08067053535718478,-0.00416762136227143,0.050220371928722134,-0.02822866674256656,-0.024968324988647317,-0.0828753382934999,-0.05733763974139669
CSK_depscore,-0.05901209890573579,0.06464106158560262,0.08569765743104975,0.012479184546411542,-0.22418041020016163,-0.04131593457537917,0.0028364721486417123,0.14540272200928286,-0.20628608287454228,0.1756535318627076,0.1531221625567562,-0.013568604924026315,-0.08424411225172798,-0.1889451184956031,0.09527242674561755,-0.07778071308466698,-0.17916391908072526,-0.1981784729691914,-0.026040142272102315,-0.18391331779636197,0.025675417047609193,0.06569664228058149,0.1577462894217204,-0.10552748057758887,0.05586732570509983,0.0020104401067264255,-0.1314580447335248,0.12542156912509392,-0.08777538153736347,0.055632122132284675,-0.16710852813828198,-0.05672713356932588,0.0404989329508798,-0.0852459261437999,0.014721251307765726,0.13967781489888415
EGFR_depscore,0.21845107771803246,0.10497147523834464,-0.10962940155310637,0.07165486170810015,0.14579600657423422,0.12815042284664693,-0.06757840499348004,-0.18967866939092118,0.2085289735031286,-0.3813711743427934,-0.10088634805949613,0.047331053621280594,0.0899364364981024,0.0938871394684945,-0.3607679662038765,0.22049967475206192,0.09629668209454922,0.0058461686400093854,-0.14151069426668636,0.10667269969147218,0.0049526545061976315,-0.14035908688063797,-0.06623667828838513,-0.16124626466893777,-0.17519947155133012,0.1247034159095676,0.17621442402854293,-0.21663574238653474,0.12751488225387667,-0.16944997598532077,0.19454427644077985,-0.17794154863248643,0.07677968031606378,-0.030703896138620033,-0.005269714695147317,-0.08277618376578669
