,ABL1_expression,ABL2_expression,AXL_expression,BMX_expression,BTK_expression,CAMK1D_expression,CAMK2G_expression,CAV1_expression,CSK_expression,EGFR_expression,EPHB4_expression,FER_expression,FES_expression,FGR_expression,FRK_expression,FYN_expression,HCK_expression,LCK_expression,LYN_expression,MAP4K2_expression,MAP4K5_expression,MINK1_expression,PTK2_expression,PTK2B_expression,SIK1_expression,SIK2_expression,SIK3_expression,SRC_expression,STK10_expression,STK24_expression,STK4_expression,SYK_expression,TBK1_expression,TEC_expression,TNK2_expression,YES1_expression
ABL1_depscore,0.3698615693765542,7.031053550411405e-07,3.680457961320136e-12,0.49622257918476065,3.1195322907005484e-14,0.19191207435230337,0.42647885255423723,1.3381061231310176e-15,0.009789808181532852,1.4310698701967123e-08,0.12332756103737665,0.26138725958577097,8.764145875667076e-08,0.18705134512676327,0.5094124516262872,0.2809100686354784,0.008221333087444384,0.2954995022666379,0.000533708492610804,0.4033933582071355,0.007969229626711384,0.7480079425950755,0.2134267860129359,9.112305300985036e-06,0.0012738347748100067,0.2181706397796971,0.0037984811916695603,0.0001699914486786247,0.4021519058985875,0.9356182317912809,0.09622594764305056,8.552553663529789e-05,0.012473202054654589,4.49981300226773e-06,0.8899204044358091,0.04296412303768307
ABL2_depscore,0.008342746983605051,0.028175987346211594,0.18339211847003806,0.2899801176621552,0.7495913865537743,0.0048937546972453744,0.5696993320709336,0.03861565973467015,0.7434852925378806,0.9061596022515264,0.21086261043463803,0.049296601128193285,0.923012503802195,0.1389490542292013,0.0063832001280921995,0.4714370738822826,0.47198361184478393,0.3303352644423421,0.30313083202025914,0.5400323718763299,0.9029676690433852,0.5276499486553021,0.8290902286793314,0.400659488486128,0.3664505989265562,0.13019585214113163,0.8403128725852875,0.6272959964296951,0.24353570643732703,0.32833632356809483,0.012598524366654954,0.03136723362246176,0.3698881558210466,0.6927168721819325,0.5116113819726681,0.5472440023542
AXL_depscore,0.05903503191670914,9.867328700837529e-05,8.420867175548692e-09,0.24087344474496808,0.5906007945168149,0.34066217202393834,0.9844079696929225,4.288305671777429e-06,0.2724528325472453,0.21886127188620874,0.15669425735937678,0.18758517041103046,0.10716931324309581,0.7282508338568832,0.008931455266800666,0.6051253440570386,0.45260641778213295,0.025186465465144258,0.19949780696368313,0.5360523740318027,0.7940455450031412,0.009826794655097573,0.907990492352596,0.2944136835757103,0.9385774192717601,0.25295040148222203,0.734945472918721,0.024904683205395635,0.00299558085121595,0.37402706402454544,0.21776150913621567,0.000996217098285104,0.20083453607725993,0.005241453215773785,0.18547767207813223,0.01911850462416852
BMX_depscore,0.6449834164117313,0.6764710047068695,0.22420804344933323,0.7779486835140843,0.8163716602059673,0.5480973052383935,0.9879760678023962,0.30877677939486614,0.540098703258864,0.38022766806514374,0.056752757147828785,0.015260713823906025,0.42985583632946284,0.9173590446333105,0.5855027814445688,0.16408054558581886,0.4684680802964759,0.6496110585305394,0.32012336244721534,0.38502162782335003,0.1426708912832546,0.5445615114026658,0.28284038350784235,0.03985818478560615,0.2984650971232487,0.016711851712942278,0.021970030970869744,0.8640328871499529,0.3689550367958512,0.1148031615921242,0.7193779849740403,0.5344326475599601,0.07832608261740714,0.2864335045528499,0.19479493724966368,0.059360385450696176
BTK_depscore,0.0009185828533232329,4.9759086876804637e-08,4.357068907482169e-10,0.12778500393113856,2.6366023573753454e-25,5.880181842858977e-06,0.4426235772827184,9.90005076019317e-08,1.7437649010831643e-08,1.397921951148421e-08,1.4930722498835168e-09,0.0017615517936943321,0.0012371267460922035,3.811148774507038e-15,0.9366157556973083,0.19471015214914628,1.8630868327132233e-09,2.7663769244979493e-09,2.124961615393214e-05,2.9227833734047893e-08,3.774791416197801e-06,0.6322534680506727,1.1525059613838984e-13,1.8318401517847388e-12,0.01829752228775379,0.1749774198445818,0.014998877227804921,3.0168808459007506e-07,0.03962328976635707,0.5357591480412871,2.4652974212394015e-08,3.210388915481127e-10,0.5494285762834876,0.0027704554719451898,0.0011436280539197984,1.7149118025388756e-17
CAMK1D_depscore,0.1798595459530069,0.21864695127709227,0.005597056281948737,0.4721635454827392,0.9296152923639939,0.5517167711094817,0.8449131334336342,0.00042004099024705015,0.0334477825639933,0.0030400098140117345,0.9715924086471248,0.11941504414507993,0.17665882091893545,0.6236713182312533,0.777817276591309,0.1413835447661473,0.8272724795680625,0.1399071223460982,0.2816689469810889,0.23958426989991,0.30211584595149726,0.08640477806249112,0.8555936206861459,0.7546619928487628,0.10345885820385779,0.4820685751954455,0.1258969024703477,0.5058829400218563,0.5049704359785624,0.9646900265426586,0.23580713051280924,0.7268503956598221,0.2709950851916417,0.6739776337782218,0.7096074346793715,0.47868581488461975
CAMK2G_depscore,0.4879838383279929,0.06722728303265842,0.004950461671619576,0.8666441766259515,0.13373715092619093,0.3296091994857085,0.17609324112467575,0.006463709082247547,0.13358051213650796,0.02182257778081261,0.5610920544652749,0.41785968538015056,0.36024517836169395,0.44707614357015574,0.7719739044231072,0.8177143795368712,0.0029172022065512403,0.01087796369606583,0.03257664054622118,0.0008390582915001167,0.514358263013006,0.2524396169686271,0.4219376408332748,0.4327052537735783,0.17522543816754182,0.3991399097406235,0.0261291037586716,0.32551606152864154,0.8943307337288614,0.18125960374638697,0.15912721505604094,0.8965396067025152,0.6270890231561252,0.9849105281448434,0.033190231101143684,0.7797786811414685
CAV1_depscore,0.6484435103655347,0.5604767922983529,0.4739631761354058,0.5476127948611025,0.79814637791266,0.06178123271137201,0.46948683364651517,0.041820313131247906,0.7075718134880732,0.0026466644731769256,0.03943726701597455,0.36822916688243296,0.7791561684582202,0.3015810069923772,0.5402362514479014,0.4100967396009929,0.6701156239685929,0.2961466768492389,0.0017816756448024195,0.1162821135227399,0.8461360831619612,0.718257805033532,0.35633329779064715,0.026580216377229477,0.32397661532433775,0.0928517694776479,0.03819173304576932,0.015836990224126688,0.1080034814350853,0.0065438220620646905,0.8884608355432736,0.09081480377798286,0.3420317351697846,0.40069477783134155,0.005209574817772099,0.053464289144775544
CSK_depscore,0.046850942915313165,0.02943433681950166,0.003861387338797878,0.6745045607661336,2.143248506543518e-14,0.16423022567194917,0.9239534594182264,8.683182543315236e-07,2.2557841722376302e-12,2.559958896579006e-09,2.1768840430598228e-07,0.6479295478944813,0.004510128653843382,1.395522186878753e-10,0.0013113666674356478,0.008754415284482774,1.2124600378870634e-09,1.626410955692113e-11,0.3807755956985967,4.306607627397855e-10,0.3874846218236152,0.026879952667244557,9.18969060585967e-08,0.0003691274221322915,0.059896794544528065,0.9460589318384972,8.862856468827533e-06,2.2601262004621882e-05,0.003080516506706368,0.06098298209797884,1.4830613771479762e-08,0.05606162067588526,0.17273904686819086,0.004053306700418835,0.6202925283046843,2.3159084196506148e-06
EGFR_depscore,9.954161348389383e-14,0.0003965672497305339,0.00021519427369278435,0.015757717808400303,8.105906239275681e-07,1.4879381457152382e-05,0.022798484086920038,1.181018183028398e-10,1.287023912471348e-12,1.3248857170037822e-40,0.000664604276574994,0.11100143424861281,0.0024233944379939217,0.0015426059339652474,3.23011359943802e-36,5.776369234874656e-14,0.001161422367878338,0.8440304711514026,1.6987275699380973e-06,0.00031810187716696834,0.8676289908812326,2.06485733372697e-06,0.025648696205718427,4.7042238224965454e-08,2.8166894489208506e-09,2.519403497893069e-05,2.274108393191964e-09,1.6050088198935038e-13,1.6413324570469175e-05,9.245206478378122e-09,3.83846771514885e-11,1.5755285685732732e-09,0.009663048610000021,0.30136492031215467,0.8592405183822457,0.005263858561085596
