Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
AML,0.05565217391304347,0.1391304347826087,0.1452173913043478,0.20956521739130432,-0.18521739130434778,-0.03217391304347826,0.1869565217391304,-0.13478260869565215,0.14956521739130432,0.02869565217391304,0.38434782608695645,-0.04608695652173912,-0.06521739130434781,0.27043478260869563,-0.13739130434782607,0.35478260869565215,0.21478260869565213,-0.13217391304347825,0.19913043478260867,-0.020869565217391303,0.18627450980392157,-0.047826086956521734,0.021739130434782605,-0.35826086956521735,-0.02434782608695652,0.03565217391304347,0.03043478260869565,-0.2669565217391304,0.08782608695652173,0.027826086956521737,0.2678260869565217,0.2078260869565217,0.08956521739130434,0.0826086956521739,-0.09999999999999999,0.3391304347826086
Colon/Colorectal Cancer,-0.19933554817275748,0.07444880700694653,-0.012080942313500454,-0.06357595892479613,-0.19978858350951373,0.012684989429175475,-0.04590758079130172,0.17200241618846268,0.018121413470250678,0.42721232256115976,-0.058592570220477196,-0.14829356689821804,-0.09891271519178495,-0.015101177891875569,0.05104198127453942,0.1141649048625793,0.07580791301721534,0.24025974025974026,0.17124735729386892,0.07414678344910902,0.3680823680823681,0.10057384475989127,-0.04469948655995167,0.20522500755058892,-0.10495318634853519,-0.008607671398369071,0.1828752642706131,0.022198731501057084,-0.012382965871337965,-0.0015101177891875567,-0.1478405315614618,0.37375415282392027,-0.06312292358803986,0.29975838115373,0.09166414980368467,0.1454243430987617
Melanoma,0.050844277673545976,0.21181988742964356,-0.02213883677298312,-0.06547842401500939,0.012382739212007506,-0.35440900562851785,-0.0727954971857411,0.2187617260787993,0.15853658536585366,-0.01106941838649156,0.053283302063789874,0.07467166979362101,-0.0626641651031895,0.12176360225140713,0.04859287054409006,-0.20919324577861168,-0.07335834896810507,0.19549718574108818,0.21988742964352723,0.11106941838649158,0.039639639639639644,-0.019136960600375237,-0.12626641651031897,0.3485928705440901,0.04840525328330207,-0.0878048780487805,0.050844277673545976,-0.16397748592870548,0.041463414634146344,0.0900562851782364,-0.05196998123827393,-0.27091932457786116,-0.32120075046904323,0.0450281425891182,0.03151969981238274,0.15872420262664166
Bladder Cancer,0.24703557312252966,0.11660079051383401,-0.19762845849802374,0.07114624505928854,0.1383399209486166,-0.25592885375494073,0.4723320158102767,0.2549407114624506,0.15118577075098816,0.33498023715415026,0.004940711462450594,0.3982213438735178,0.2341897233201581,-0.20256916996047433,0.2964426877470355,-0.0029644268774703555,0.158102766798419,0.17786561264822134,0.3488142292490119,0.03754940711462451,0.26363636363636367,0.24505928853754944,-0.15019762845849804,0.02964426877470356,-0.06422924901185771,0.004940711462450594,-0.04150197628458498,-0.03656126482213439,0.21541501976284588,-0.012845849802371542,-0.25691699604743085,-0.06719367588932806,0.05138339920948617,0.1314229249011858,0.06620553359683795,-0.27865612648221344
Lung Cancer,0.07256080326647842,0.18865345498050246,0.0296035103492676,-0.10488881887249502,-0.0817629587765184,-0.036827156089525574,0.06270995602864106,0.014868941103584242,-0.0195487885684082,0.2905629254174709,-0.006440582154559706,0.11692668393547784,0.06244584582518069,0.1553616688074726,-0.08266649368309331,-0.03445479777072372,-0.09447268312900566,0.04042276166645962,0.10238672220813369,0.0670608241172249,0.011065172908527498,-0.030224401003016522,-0.0520204430570085,0.11721396170064524,-0.10003753145103889,-0.12736598724067424,0.035654877467148884,0.07411766341319213,-0.09906449385934282,-0.0896121286828667,-0.16477233237287603,0.15242402198301874,0.14695647742015513,0.15639957557194842,-0.03802260227360932,0.17571668852328612
Ovarian Cancer,0.1766344618122728,0.4045996095069041,0.12980854743922063,-0.010195009205272122,0.21373955345471665,-0.0065200640266275195,-0.26056546782776885,0.037697824735773655,0.14569379434045857,0.31746784478742723,0.008416809925282799,-0.2661371589050688,0.20982751503874017,0.17367079634562393,-0.34105862190195224,-0.21018315489473804,-0.004386224890640331,-0.0699425050129134,-0.03971311725309489,-0.21765159187069322,-0.2667408231368187,-0.10029043939139784,0.1437970484418033,-0.009009543018612573,0.2621065738704263,-0.06306680113028801,-0.11905528050909672,0.1671507323189964,-0.12174737736993567,-0.06567482674093901,0.1316687048224929,0.22022009183898864,-0.05907716081478421,-0.07693675551420473,0.01415792524973042,0.08973979033012786
Breast Cancer,-0.04497455825520377,-0.046178256894637455,-0.008316463326996319,0.06543743512557629,-0.08053838169301698,0.10297094724609916,0.06598457087077342,0.11993215534721006,-0.09093396085176238,0.2703944852764198,0.24818077402141644,-0.017836625293426313,0.08097609028917467,-0.06948623964003502,0.14849264124650005,0.22563878131929485,0.23321964138646842,-0.1477266512032241,-0.1478360783522635,0.018712042485741716,0.10034469566915295,-0.07408217989969089,-0.10570662597208477,0.11238168206348972,0.3059583087142329,-0.2734584454495237,0.32007441094031885,-0.10406521873649341,-0.0015319800865519532,-0.08469661335651514,0.22432565553082173,-0.07769327581799192,-0.11555506938563304,-0.22476336412697945,-0.035673250586852626,0.16742353803032062
Pancreatic Cancer,0.029691876750700282,-0.01568627450980392,0.036414565826330535,0.06330532212885154,0.22268907563025211,0.24453781512605044,0.021848739495798318,0.12661064425770308,0.19859943977591038,0.032492997198879554,0.09383753501400562,0.026330532212885158,-0.008963585434173669,-0.08487394957983195,-0.11792717086834735,0.2296918767507003,-0.04341736694677871,0.14453781512605043,0.1523809523809524,-0.36498599439775914,-0.2609566184649611,-0.07871148459383753,0.1585434173669468,0.1288515406162465,-0.2109243697478992,-0.011484593837535015,-0.2173669467787115,0.04705882352941177,-0.05434173669467787,0.1495798319327731,-0.30336134453781516,0.3904761904761905,-0.18123249299719887,0.27787114845938377,0.27142857142857146,0.09131652661064427
Myeloma,-0.2824561403508772,0.09649122807017543,-0.014035087719298246,-0.22456140350877193,-0.243859649122807,0.12280701754385966,-0.2456140350877193,0.02631578947368421,0.2824561403508772,-0.0824561403508772,0.007017543859649123,-0.15438596491228068,-0.4736842105263158,0.1456140350877193,0.019298245614035085,-0.45964912280701753,-0.07894736842105264,-0.18070175438596495,0.07719298245614034,-0.15614035087719297,0.06293706293706294,0.2456140350877193,0.2070175438596491,-0.22456140350877193,0.0035087719298245615,-0.012280701754385965,-0.22807017543859648,-0.015789473684210527,0.14210526315789473,-0.1754385964912281,0.23333333333333334,-0.07719298245614034,-0.19298245614035087,-0.36315789473684207,-0.30526315789473685,0.08771929824561404
Glioma,0.06745302602092834,0.34248118132594374,0.2031889043934467,-0.004623318127972242,0.35765514851518593,-0.22998044021195252,0.28925374954492994,0.07290617047956227,-0.03319305322646737,-0.05654673710366049,-0.15541461707106688,-0.0010669195679935942,0.08736885795680877,-0.014107047621248633,-0.039238930778431075,-0.20638966309742748,0.23306265229726733,-0.00047418647466381956,-0.20081797202012758,0.016715073231899642,0.09198153664951511,-0.008416809925282799,-0.254993776750469,0.06709738616493047,-0.12399976312458884,0.11344911406331884,0.04777428732237982,0.02370932373319098,0.0459960880423905,-0.09768241378074684,0.16786201203099213,0.032837413370469505,0.36204137340582626,-0.12316993679392714,-0.12127319089527186,-0.035682532218452426
