Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
AML,0.7961874995255513,0.5167416555162507,0.4983794692456115,0.3256961715714217,0.38623268190217497,0.8813617120284872,0.3817089686350579,0.5300538865453848,0.48546433225418195,0.8941129145750657,0.06368822401812063,0.8306723439322352,0.7620689398781239,0.20121293703333998,0.5220471463273302,0.08891743107314608,0.31351686150284375,0.5381181783911482,0.3508987130768876,0.9228917031216202,0.4740951399440866,0.8243778236378613,0.9196887674366272,0.08561225508651164,0.9100874200789535,0.8686390462246146,0.8877339355759605,0.20729622036281845,0.6832152692148052,0.8973048186218164,0.20576390509564657,0.3298186178055176,0.6772689468428972,0.7011629844471832,0.6419932296067883,0.10498302480093243
Colon/Colorectal Cancer,0.2000113003772993,0.6351667667591806,0.9387123368970677,0.685462129051945,0.1989698254982496,0.9356542065272297,0.7700422655756151,0.2700688109555762,0.9081773377298378,0.0042735841854020275,0.7089874367792772,0.3426040195642578,0.528006680602177,0.9234312559864968,0.7451403057789094,0.4660274060937112,0.6289865866442909,0.1206877193118846,0.2722090870419681,0.6365434896781764,0.027192249856558184,0.5210658520154262,0.7759359215006755,0.18676888122492047,0.5029867736344744,0.9563121497735831,0.24048032474993367,0.8876371454733414,0.9371831601819192,0.9923318870521431,0.34409709999435445,0.013554653311546759,0.6875890989445661,0.0508322082526082,0.5588147869973166,0.3521275714691571
Melanoma,0.755365711609403,0.18947534573765537,0.8921416078965296,0.688109899685906,0.9395505580605445,0.02484590928407151,0.6553134064437389,0.17503850592322598,0.3285314061081207,0.9459518810567686,0.7440164146335124,0.6470028501821441,0.7008795055443527,0.45417525189453034,0.7658872246934965,0.19515158402969968,0.6528158761588037,0.22668876726667347,0.17277377464776753,0.49504590318899866,0.8184537385989099,0.9066972610533287,0.43752998782248864,0.027492991891956448,0.7667659205231773,0.5900525829475209,0.755365711609403,0.3119861146387602,0.7994713900672259,0.5805167958190035,0.7501211135972171,0.09085634871425645,0.043286215884110406,0.7826306942221835,0.8469005419940328,0.327951952020055
Bladder Cancer,0.25579111906173746,0.5962323605575823,0.36604918972941836,0.7470083093041772,0.52902521634333,0.23851674065699827,0.022858637065060545,0.24039744964217147,0.49107386245475415,0.11818082467219845,0.9821500334482505,0.059836297255972656,0.28212973010464826,0.35394111111825355,0.1695927543895517,0.989289490226476,0.47121646253366734,0.41682106458459345,0.1028330509735601,0.8649333446053347,0.4334407376116145,0.25973639878298493,0.49394419410080626,0.8931893164605362,0.7709325113831805,0.9821500334482505,0.8508629902593835,0.8684573099373571,0.32357621730698916,0.9536107425920655,0.23664567701812364,0.760653161138472,0.8158878128403199,0.5500163417360643,0.7640753557905012,0.19790431379953316
Lung Cancer,0.45336768421767326,0.04946390300519415,0.7599294104634058,0.2777251511590139,0.39799620381567746,0.7038094888818462,0.5171135865198644,0.8780394135393793,0.840103079586009,0.002176661199722082,0.9470059382298162,0.22595868916850187,0.5188834534724662,0.10671530307761788,0.39278516567769917,0.722082363599588,0.3284997707199975,0.6764361755068223,0.28941215509099066,0.4884072605605688,0.9129931836501252,0.7550516585368828,0.5911212562791771,0.22481247084125824,0.3006780627003078,0.18690460053078792,0.7128185550766917,0.4437094379415778,0.30542767344530647,0.3541041195003879,0.08686635634937542,0.11358854332491966,0.1272905450605978,0.10436613723760836,0.6946644035928422,0.06760453405099116
Ovarian Cancer,0.295653606064592,0.012997101467790453,0.44382974032124944,0.9522457746751356,0.20399817163191392,0.9694491901324276,0.11932752102971991,0.824691358159573,0.3895643053031692,0.055535668923161016,0.96056782540226,0.11135068462311605,0.2125970924031639,0.30396016883548016,0.03885027793833142,0.21180518996398,0.9794450064881538,0.6808190155588927,0.8154770048830942,0.19564431142839703,0.15418993850617566,0.5547905261671515,0.3958326395572386,0.9577933088556396,0.11707955763439507,0.7107693147807412,0.48919634932633405,0.32275098806579516,0.4728686187759712,0.699355612276156,0.4439899096695554,0.1968420442793833,0.7321608830394054,0.6508386891016846,0.9346836148390552,0.5973618545115711
Breast Cancer,0.788609938679286,0.7830861035867711,0.9604775140536372,0.6962946128290104,0.6307515208111576,0.5384290766492095,0.6938779151660144,0.4732447020161543,0.5871599312468279,0.10061281521070041,0.13299369147284365,0.915354088076545,0.6288896348841996,0.6784824590591313,0.37360600916458053,0.17316381503079686,0.17103160068820347,0.37610370135171944,0.3757462851972574,0.9112157649867345,0.5488934676733361,0.6584701844483556,0.5276316210218305,0.5017376329696153,0.06174408606005585,0.09666640879291653,0.050107973646734374,0.5340973887345615,0.9927167853475738,0.613155701398542,0.17574540675214567,0.642908128565464,0.4896575294076255,0.17488184064607457,0.8316184663506607,0.31503842833232676
Pancreatic Cancer,0.8655471677926485,0.9287351534323142,0.83548173103701,0.7178897530927675,0.19850677470913872,0.15684454319696983,0.9008566541209951,0.46859921463690823,0.25274929951150704,0.8529948447188369,0.5918381012050132,0.8806525045445801,0.959242369474793,0.6278454217817013,0.4998731314451448,0.18439207311012373,0.804406161992402,0.40744091911793545,0.382185147524584,0.031094599494301333,0.16366337442602302,0.6531069035782617,0.36299997478346324,0.4606998005341889,0.2238830042771855,0.9477931873845546,0.20972585540631541,0.7883594747723589,0.7565278308663415,0.39109796997498425,0.07647022096754152,0.020388940281776378,0.29745515852589266,0.10604769249969623,0.1147382926829178,0.6018735651526205
Myeloma,0.24133244704369028,0.6943484389585837,0.9545239437308348,0.35534598974510767,0.31437156522355014,0.6164660517594382,0.31079286491965785,0.9148378965354744,0.24133244704369028,0.7371803788984196,0.9772535735987999,0.5279958428489308,0.04049410836851531,0.5519696732095334,0.9374978309415845,0.04770770316578596,0.7480109342989423,0.4591089856621523,0.7534433450404967,0.5232597112042991,0.8459309212287789,0.31079286491965785,0.3951161652286155,0.35534598974510767,0.9886257366379809,0.9602038588720425,0.34767800923503955,0.9488461264555137,0.5616930467377019,0.4725078411455852,0.33635706944227184,0.7534433450404967,0.42861312244412497,0.12645534372597733,0.20377277471476163,0.7210236536238765
Glioma,0.6916104508254015,0.03799152650552895,0.22775572181410722,0.9783341802818082,0.029756201794474534,0.17089353083229064,0.08249161942699691,0.6680532338501131,0.8453701334245092,0.7395714358698269,0.35835639779843875,0.9949996389535266,0.6071201463272011,0.9339560016812908,0.8176429415996498,0.2203576695440495,0.1650730928606901,0.9977776061473065,0.23334368750218318,0.9217807451175086,0.6549484132043901,0.96056782540226,0.12772503918635075,0.6931570465425941,0.46465567210745395,0.5037747943467061,0.7788746667143092,0.8892228257564276,0.7869114376397894,0.5651806765631906,0.3206666137152623,0.8470072050000369,0.027670406313836503,0.46767263027149497,0.4746073423250152,0.8339288742922744
Kidney Cancer,0.2797642200565713,0.7851478708666942,0.6866550541678016,0.3900270258208054,0.04929337692796817,0.6099496263278286,0.02020682839755899,0.14702554764788864,0.9773044881689206,0.2610264770684414,0.34510124880977866,0.6449317151979074,0.8103299008966292,0.29139239227836833,0.7977151313810279,0.5927498112228585,0.17363506116754218,0.4088537259590216,0.9384456264028496,0.10060038374584017,0.08984168497185577,0.020782714646741193,0.14955138885906258,0.28360817850986736,0.2874842429174512,0.5534228921214379,0.7977151313810279,0.5206651056985048,0.14955138885906258,0.46816133789331504,0.6987424830235279,0.6157269826949079,0.9384456264028496,0.7170028416617739,0.8548139516870752,0.10449665262201607
Lymphoma,0.5843341377940885,0.2945852517797206,0.23420142217199674,0.2699571854740492,0.1376581021547468,0.18965338229698442,0.7792052599569443,0.6550038147264956,0.9510960223522145,0.03353442517562418,0.31891232724879054,0.3205766401534719,0.013453309507056989,0.7792052599569443,0.6145518317541101,0.3496786228612845,0.609861220702868,0.49782248280054353,0.28056408355752993,0.5592837048093393,0.2846927409558867,0.49356526217163565,0.1780804964582071,0.10664210687683542,0.3638989666000729,0.9247220780592231,0.03135701293445765,0.26697458497857096,0.6574145699161673,0.5172037613432983,0.726193634859796,0.34617585560141473,0.5502971635239915,0.5193795608620919,0.9510960223522145,0.08437136984701651
ALL,0.9484022252365223,1.0,0.9827917689028476,0.8459309212287789,0.11817595701303213,0.35414764123292175,0.5717012385276553,0.11210929146889191,0.879918578878675,0.4432619364501832,0.2356210035126457,0.8628980736949712,0.5567370561768314,0.729194990751066,0.762121655996299,0.879918578878675,0.8628980736949712,0.1745190081300594,0.30790987618065263,0.10060263183225482,1.0,0.7787253962454419,0.5419358857313173,0.124454791188834,0.022034190932365288,0.02831967129576002,0.5273023541661082,0.08486877113393493,0.19083587400450033,0.7787253962454419,0.9484022252365223,0.2080634636953532,0.9655902689187795,0.8121826980280591,0.3910967709418962,0.10060263183225482
Neuroblastoma,0.6695786456420787,0.32589494101284167,0.042645569805326695,0.2846927409558867,0.40114489796047836,0.6306852146425357,0.09556521835315422,0.6115423848512369,0.5739131682855215,0.689309020586362,0.9576852410216187,0.09556521835315422,0.4500365768888285,0.9365584481926122,0.6695786456420787,0.37008312228206786,0.20057021703405067,0.7495085962341482,0.40114489796047836,0.16973260492681172,1.0,0.9154683168905347,0.5739131682855215,0.6115423848512369,0.2115450103420961,0.501535667604937,0.7903727377532903,0.38545696969136556,0.009759535959916903,0.11730680301423815,0.9788365001441937,0.9154683168905347,1.0,0.7903727377532903,0.2716375409938228,0.38545696969136556
Gastric Cancer,0.38958495126293113,0.8162909761565976,0.043191029080225964,0.739838931988495,0.7756882409162642,0.4479056595622466,0.6799297727015544,0.09668541110544647,0.08090186407317351,0.21166629898081402,0.9537083000670102,0.7991320319423116,0.01861152624254085,0.9559105012764118,0.3148867290910068,0.7273079354821581,0.7503314527898621,0.9515064313906725,0.4945297363032437,0.4735123340459825,0.7359946162262683,0.9911780422853909,0.20746016007751097,0.6718042744345669,0.25813161005535395,0.5888016505319207,0.9757426685296572,0.8055563974027163,0.8660602737371457,0.06947653701825968,0.43455805749906706,0.7884533244332053,0.3401671676120205,0.10733740188726466,0.7169174528246312,0.973538185853112
