Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Lung Cancer,0.21074901328181492,0.0939496151958579,-0.008817842841336793,0.11609058517039499,-0.020489512873936588,0.2214667017118084,-0.11891772639396862,-0.15856927522680825,-0.015336058100029687,-0.22847603999856042,-0.058831930994394106,-0.09565674264905255,0.03709632208019045,0.04197382139606143,-0.20941544402571427,0.1565696884067314,0.20433853462592988,-0.09543241625234208,-0.1412818508398,0.060685164545278614,0.051986441646453156,-0.12016618972561864,0.16459036044723363,-0.05067823909063845,-0.03517148329903839,0.14456214986569033,0.1578643990977103,0.04475362171043738,-0.08132003504441902,-0.1650186312597344,0.0908100856453497,-0.034297568935515464,0.10838790305620516,-0.016595081544184122,0.03914742324309711,-0.14238074894963534
Glioma,0.09869767856393719,0.07395792506688673,-0.2841587179837274,-0.09817817087977346,0.03569096314416463,0.08658913723967655,-0.014896768011150799,0.22091554531168991,-0.17449255161599445,-0.11176444977716804,0.21089768738154627,0.13360341573618906,-0.0720171135045475,0.2926419390379615,0.06877157965897221,0.41770111978294683,-0.22406194102477217,-0.08435433529365936,-0.1068908441501873,-0.2930568864883701,-0.07831351547129702,0.22727470730212895,-0.08327888853232475,0.12866414054627998,-0.06194458988485845,0.1262250099198102,0.31736213955919507,-0.02116816936543401,-0.25899468594825337,-0.15819504348818175,-0.3629949043035536,-0.14306107298831555,0.07988152801688471,-0.34868895023518753,0.20270917742125488,0.13293261914260204
Esophageal Cancer,0.368695652173913,0.16,-0.05652173913043478,-0.16060046359289587,-0.24537747230799586,-0.1809088975143045,0.25304347826086954,-0.28086956521739126,0.04347826086956521,-0.19043478260869565,0.2052173913043478,-0.01217391304347826,-0.03261578681147317,-0.1701819861980633,0.2713043478260869,-0.047826086956521734,0.11531023209204645,-0.3565992691387733,0.20482714117605147,0.26086956521739124,-0.2834782608695652,0.1826086956521739,0.11478260869565216,0.3478260869565217,-0.08434782608695651,0.4097434054429762,0.3052173913043478,0.15304347826086956,0.029565217391304344,0.12,0.12828876145846113,-0.042608695652173914,0.3278260869565217,0.41478260869565214,0.43304347826086953,0.14869565217391303
Gastric Cancer,0.1132369299221357,0.25739710789766407,0.022249416090509656,0.0595450210565192,-0.2664145981909568,-0.015372635034179735,0.01668520578420467,-0.051841139490887506,0.1621802002224694,-0.2345088455939718,0.020244716351501667,0.08298109010011123,0.23100034668601888,-0.12400467703900989,-0.08076538040855005,-0.08876529477196884,-0.0026885401230328067,0.2567930322723547,-0.0932146829810901,-0.10478309232480533,0.11457174638487205,-0.11857619577308119,-0.02202447163515017,-0.19199110122358176,-0.4091212458286986,-0.03315531902288448,0.06206896551724137,-0.21557285873192436,-0.013125695216907676,0.16262513904338155,0.06696329254727475,0.02447708115783418,0.22981090100111232,-0.005562354022627414,-0.1670745272525028,0.07452725250278086
Ovarian Cancer,0.1304371616549949,-0.021119439764609074,-0.04234830667825757,0.163009817503504,0.004767913074810847,0.045382389041324946,0.24292827086752403,-0.10953657618846466,-0.15407342584751074,-0.18777698775165372,-0.19675001397288658,0.10067848544539285,0.10085416105921127,0.03510925967872874,0.12390543204078996,0.12989002590979776,-0.11640190650222446,-0.04154568890914355,-0.09465448391910283,-0.25749616984022755,0.03950320080323251,0.2969852824930001,0.06784483240444365,0.14511627928702323,-0.013461012332054191,0.033484707606064125,0.14520982677531732,0.22870274149239878,-0.0784592658612679,0.07725556722183421,0.1859167262179835,-0.16688596500713623,0.285386004694821,0.19032505312630768,0.23911140293280803,-0.12036986394336775
Bladder Cancer,0.33999999999999997,0.023478260869565212,0.06,-0.2156018733805244,0.12249388019039363,0.1413350761830504,0.2026086956521739,-0.13826086956521738,0.1243478260869565,-0.41478260869565214,-0.04,0.051750381740870766,-0.046541979174520666,-0.07961654119184866,-0.2817391304347826,-0.16173913043478258,-0.027134063867209752,-0.07100863132452102,-0.11913043478260868,-0.009565217391304347,0.5252173913043477,0.2713043478260869,0.4139130434782608,-0.21478260869565213,-0.09826086956521737,0.14956521739130432,0.03305066396895948,0.03913043478260869,0.08,0.07043478260869565,0.13478260869565215,0.12094847039294833,0.02260869565217391,0.04521739130434782,0.14782608695652172,0.12
Lymphoma,-0.20756244218316375,0.13026509791225852,0.06830289365165859,0.08776730368514751,0.12778259633964764,-0.26676688251618874,0.16234967622571692,-0.10165375342638813,-0.03746530989824237,0.13844095028491918,-0.0646410916404372,-0.1244218316373728,-0.0036425659868940456,0.06450307685850282,-0.3490072242687613,0.08661212457725842,0.2147154325218183,0.0031228314506564895,-0.2135753931544866,-0.14303885291396856,0.12164662349676227,0.0851063829787234,-0.035329151019002955,-0.01561054579093432,0.12945938154048467,0.26446950029753324,-0.1210141366757022,0.020180993069464297,-0.09828862164662351,-0.06868640148011101,-0.11332099907493062,-0.13375397928516294,0.17414431082331178,-0.0196577243293247,-0.30874190564292325,0.19791788351909942
Liver Cancer,0.2399774138904574,0.30660643704121965,0.1552795031055901,-0.3031117976417848,-0.2189472343194869,0.11349520045172222,0.2840203274985884,0.1236589497459063,0.3167701863354037,0.18577075098814233,-0.1902879728966686,-0.21174477696216829,-0.21914714231692897,0.08940820572932645,-0.22818413787638997,0.08977978543195936,0.34525516683970764,-0.12121270939063017,-0.23207227555053642,0.2874082439299831,0.07058159232072277,0.2806324110671937,-0.07058159232072277,-0.16996047430830044,0.3946922642574817,0.18751765785881555,-0.16205533596837948,-0.27272727272727276,0.3325804630152457,0.17786561264822137,0.29983060417843027,0.25554074708479907,0.1236589497459063,0.3654335079357037,-0.025409373235460195,-0.1225296442687747
Pancreatic Cancer,0.06733048838311995,-0.08060692271218588,-0.23897581792318634,-0.05656855790575387,0.06870776435365952,0.18660343936707277,0.14983404457088664,-0.22901849217638687,-0.008416809925282797,-0.22024656235182546,-0.14627785680417257,0.30490190320883603,-0.07494367840522848,-0.13894698664399663,0.2037816374867765,0.15267899478425795,0.10993264952924676,-0.049208515827831964,-0.20022523892679783,0.14461830251303934,0.3090510348621444,-0.18065433854907537,0.06353722143195827,0.2636320531057373,0.21373955345471668,-0.18754075072954066,-0.10526315789473684,-0.05429113323850165,-0.08866761498340445,-0.037934917973105574,-0.17117117117117114,0.16289271009552603,0.04409672830725461,0.16666666666666663,0.1647700331910858,0.10715979137031767
Breast Cancer,0.26908135948794665,0.08480604050555457,-0.026321549900446804,-0.2055880650630656,0.45874910057017465,0.15899764755428486,-0.021776002658845627,-0.014117647079959272,0.1699403624582274,-0.19873057561829718,-0.014553810822243557,0.005198642911730659,-0.20082102889180273,-0.37235106126506784,-0.08974990543984344,-0.16589155794376867,0.026242343343814385,-0.2570022893073537,-0.08831737359323358,-0.06576931494856643,0.1301159991245349,0.06784483240444365,0.14696066115994807,-0.13109372454923143,-0.07683046997968258,-0.016632926653992637,0.08776057352961904,0.12781091007804868,0.16818952807359658,-0.15615254167925982,0.24905619121373182,-0.1940398034654357,0.5557804899712409,-0.0453674826887989,0.032937571860866995,-0.22476336412697945
