Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Ovarian Cancer,0.07451581135791661,0.16839916839916838,-0.04628515154830944,0.05788379472589999,0.09640004376846481,-0.06072874493927125,-0.018054491738702265,0.13207134259765838,0.2353649195754459,-0.20297625560783453,0.19225298172666597,-0.15395557500820659,-0.17452675347412192,-0.18940803151329466,0.024182076813655765,0.03621840463945727,-0.3329685961264908,-0.018492176386913226,0.3423788160630266,-0.14848451690556952,0.1635467980295566,0.05109968267863005,0.04344020133493817,-0.203632782580151,0.10909289856658277,-0.041251778093883355,0.16270926797242588,-0.009081956450377503,0.22792428055585948,-0.15658168289747235,0.30780172885436047,0.4104387788598315,-0.08086223875697561,0.041251778093883355,-0.07013896487580698,-0.14345114345114346
AML,0.6408668730650156,0.06914344685242517,0.007223942208462332,0.1455108359133127,0.3065015479876161,0.021671826625386997,0.08359133126934985,-0.07327141382868937,-0.21568627450980388,-0.08771929824561403,-0.09597523219814243,0.011351909184726523,-0.28998968008255926,-0.07533539731682146,-0.2053663570691434,0.01547987616099071,0.06914344685242517,-0.11248710010319916,-0.05675954592363261,-0.1042311661506708,-0.01098901098901099,0.3168214654282766,-0.5789473684210527,0.45304437564499483,0.18885448916408668,-0.11661506707946334,0.08565531475748193,0.2239422084623323,-0.4055727554179567,-0.2961816305469556,-0.37048503611971106,-0.05882352941176471,-0.20123839009287925,-0.052631578947368425,0.5603715170278638,-0.6243550051599587
Colon/Colorectal Cancer,0.002536997885835095,0.050035236081747717,-0.09189570119802677,-0.13136011275546158,-0.10472163495419308,-0.2321353065539112,0.2138125440451022,-0.04693446088794925,-0.04369274136715997,0.2610288935870331,-0.35489781536293163,-0.12219873150105706,-0.4188865398167723,0.027202255109231854,0.07470049330514447,0.0675123326286117,0.07610993657505284,-0.002536997885835095,0.09048625792811839,-0.052149400986610285,0.2657624633431085,0.04580690627202255,-0.03890063424947146,0.05567300916138126,0.12346723044397463,0.004792107117688513,-0.05017618040873855,-0.06300211416490487,0.0016913319238900633,-0.18886539816772374,-0.0649753347427766,0.09203664552501761,-0.09908386187455955,0.15785764622973925,0.03227625088090204,0.20394644115574348
Melanoma,-0.19518963922294172,0.16882516188714156,0.0977104532839963,0.03943108233117484,-0.17830712303422758,-0.04775670675300647,-0.1643154486586494,0.030064754856614247,-0.34030989824236824,-0.1522895467160037,0.07816836262719705,0.15101757631822385,0.004278445883441258,-0.0660268270120259,0.28098982423681773,-0.022201665124884366,-0.024283071230342276,0.29648473635522665,-0.13864477335800185,-0.035962072155411653,0.11350844277673548,-0.062326549491211844,0.05353839037927845,0.017691951896392232,0.1827012025901943,0.08730342275670674,-0.04532839962997225,0.12580943570767808,-0.035268270120259015,0.14951433857539317,-0.2068686401480111,-0.25439407955596666,-0.02497687326549491,-0.04324699352451434,0.1774976873265495,-0.056544865864939876
Bladder Cancer,-0.15960591133004923,-0.20344827586206893,-0.008866995073891625,0.032512315270935954,0.17980295566502458,0.03990147783251231,-0.07192118226600984,-0.28226600985221667,0.4448275862068965,0.051724137931034475,0.2832512315270935,-0.011822660098522165,-0.17241379310344823,0.2596059113300492,-0.010344827586206895,-0.1172413793103448,0.3118226600985221,0.002955665024630541,0.1719211822660098,-0.2763546798029556,-0.5818181818181819,0.1694581280788177,-0.06847290640394087,0.19852216748768467,-0.1295566502463054,-0.015270935960591127,-0.5428571428571427,0.026108374384236445,0.23596059113300488,0.032512315270935954,-0.21871921182266005,-0.08226600985221673,0.1926108374384236,-0.21527093596059108,-0.0073891625615763535,-0.037438423645320185
Lung Cancer,-0.022121238103403926,-0.11977097563996303,-0.23112025684262671,-0.05315956443453656,0.1477321443882363,-0.04931073575504682,0.02482685034344127,0.1426638848399973,0.10290853315804015,-0.1609744014785599,0.06782131527051358,-0.09129535949393619,-0.27453390113083154,-0.22008821820191107,-0.19739537187878095,0.11857059837853802,0.12331494660226547,0.09216229862718758,0.06054283727266664,0.09529661703201958,0.16117501546072974,0.06837386988291558,0.0180342393323616,0.06329608353101451,-0.18881172177922584,0.007440433660102698,-0.04949174502462678,0.03154324692522412,-0.020863700020006287,0.09743062105233072,-0.15050444425390835,-0.013566168414835138,0.019358465041393963,-0.05034915735421608,0.04779597397277239,0.029390189297588763
Breast Cancer,0.19017379679144386,0.3572860962566845,-0.01002673796791444,0.034090909090909095,-0.3342245989304813,-0.21791443850267384,-0.02974598930481283,0.07486631016042782,-0.09725935828877007,0.08021390374331552,-0.29244652406417115,0.080548128342246,-0.007352941176470589,-0.05247326203208557,0.02038770053475936,-0.23295454545454547,-0.0903225806451613,-0.005681818181818182,-0.03776737967914439,0.3723262032085562,0.05791788856304985,-0.19251336898395724,0.37266042780748665,-0.09057486631016043,-0.27840909090909094,0.21390374331550804,-0.18582887700534761,-0.08622994652406417,-0.15641711229946526,-0.06818181818181819,-0.054812834224598934,-0.09425133689839572,0.12633689839572193,-0.34759358288770054,-0.1306818181818182,0.15909090909090912
Pancreatic Cancer,-0.15928705440900565,0.10262664165103191,-0.06622889305816136,0.22908067542213886,0.20806754221388368,-0.05178236397748594,-0.2033771106941839,0.00075046904315197,0.21707317073170734,0.05966228893058162,0.15515947467166982,-0.009380863039399626,-0.2442776735459663,-0.06735459662288931,-0.2964352720450282,0.1652908067542214,0.0028142589118198874,0.11632270168855535,0.32701688555347097,-0.14915572232645405,-0.4189098998887653,-0.30731707317073176,-0.32138836772983115,-0.02082551594746717,0.11857410881801128,-0.28424015009380865,0.11969981238273922,-0.20994371482176363,-0.11088180112570359,0.09212007504690432,-0.09193245778611633,-0.0275797373358349,0.01106941838649156,-0.250281425891182,0.08742964352720452,-0.17654784240150098
Glioma,-0.33326096396005206,0.04602692140686061,0.05156317846287451,-0.17998263135041248,0.09574468085106383,-0.1017151541467651,-0.03994789405123751,-0.1807425097698654,0.10269214068606165,-0.11669561441597916,-0.015957446808510637,0.0033651758575770734,0.2190620929222753,0.34020842379504995,0.04353017802865827,-0.04005644811115936,-0.10801128962223187,-0.1519756838905775,0.26259227095093357,0.12776812852800695,0.17413101604278075,-0.2585757707338254,-0.10345201910551453,0.09118541033434649,0.09541901867129832,0.05775075987841945,0.3042770299609205,0.29928354320451583,0.06252713851498046,-0.2185193226226661,-0.03441163699522362,0.32294832826747716,0.1514329135909683,0.030395136778115502,-0.17998263135041248,-0.1545809813287017
Ewing Sarcoma,-0.11029411764705883,-0.38480392156862747,0.4558823529411765,0.16176470588235298,-0.22058823529411767,-0.20098039215686278,-0.1593137254901961,0.45833333333333337,-0.14950980392156862,-0.2524509803921569,0.28186274509803927,0.07352941176470588,-0.1593137254901961,-0.3357843137254902,0.11029411764705883,0.411764705882353,0.41421568627450983,-0.19117647058823534,-0.37009803921568635,-0.590686274509804,-0.28484848484848485,0.10784313725490197,0.11519607843137256,-0.16666666666666669,0.3088235294117647,0.12745098039215688,0.2132352941176471,0.10539215686274511,0.42892156862745107,-0.2303921568627451,-0.007352941176470588,-0.41666666666666674,-0.11764705882352941,-0.10049019607843139,0.47058823529411764,0.09068627450980393
