Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Ovarian Cancer,0.6565937783763451,0.31218601711509336,0.7825960600836088,0.7299517534752796,0.5647893120463463,0.7172128375649034,0.9143239675169044,0.4292840124711672,0.1548831260615895,0.22163063734083968,0.24753225614660407,0.35607945760461224,0.29464508337377093,0.2547312568581828,0.885413912881603,0.8290830512911337,0.04108314986735325,0.9122549162270623,0.03536777896592171,0.37363244880798063,0.3965967598103598,0.7606128544232551,0.7956659315161131,0.22010769742965985,0.5144144831837258,0.8057573760459124,0.3290514964444927,0.9568429028574315,0.16873548526446716,0.3478340016528916,0.06011307919094293,0.010482763469717214,0.629373709603079,0.8057573760459124,0.6756266137334805,0.3902253850788351
AML,0.0041595509943915246,0.7851478708666942,0.9773044881689206,0.5645405304670836,0.21606379461125766,0.9319797351987382,0.7415774315720882,0.7726309674360764,0.3900270258208054,0.7292587507339037,0.7048123642968973,0.9643420040748253,0.2430922860390451,0.7663922813478388,0.4136353714020945,0.9513880221541826,0.7851478708666942,0.6567565630509027,0.8229893024799763,0.6806381463141873,0.970258390096969,0.20020499436454786,0.011818464080461773,0.05901670687313079,0.4529458223784959,0.6449317151979074,0.7354104124232369,0.37168616375621744,0.0949534247922293,0.23271685741068457,0.13016560662863333,0.8166542035684891,0.42328766928815786,0.8356904320597222,0.015569122116593606,0.0056112726298920695
Colon/Colorectal Cancer,0.9869598875954844,0.747040927426049,0.5529962798302369,0.3953519801189943,0.4987163432398858,0.1294484516979806,0.16343280535662433,0.762246442518516,0.7782381562531908,0.0870007138199599,0.01808484955203289,0.4294065010967849,0.0046545210177433675,0.860861885826806,0.6298652892345218,0.6632493369961233,0.6234013407327023,0.9869598875954844,0.5591267587117936,0.7367272797049156,0.14152033253426233,0.767798062708882,0.8020429875473118,0.7196398053709625,0.424595686993132,0.9753713902632224,0.7463519684003449,0.6845354895339382,0.9913063844957821,0.21951765243877608,0.6751918681233884,0.5523849836164174,0.5222346554254506,0.3061192250623474,0.8352390885562355,0.18421505635823884
Melanoma,0.18857466153516206,0.2566240694957601,0.5135000951537916,0.7924357754834225,0.23047606072454913,0.7499015075880604,0.26973257087916386,0.8410045652200139,0.019254797580468497,0.3068250019615984,0.6014857018410971,0.31093040019913093,0.9772300098932729,0.6592492905239828,0.05571723149433061,0.8822429029458441,0.871292204120767,0.04300976492303583,0.352679121405127,0.8103439958937099,0.48556181853788194,0.6772721042669088,0.7207821284210403,0.9060414964834945,0.21900206972298086,0.5595424255082047,0.7622377996199787,0.3994319387913282,0.8139374956291403,0.315827161806718,0.16296309059404399,0.08442094589832627,0.8676471590902454,0.7728585514685827,0.2326338998371425,0.7057903165546864
Bladder Cancer,0.40822686941236563,0.28981355192476804,0.9635887302144255,0.8670343441310322,0.3506577360844545,0.8371769767986004,0.7108225942934957,0.13792971320111486,0.015612892852388278,0.7898781073350564,0.13650159373560772,0.9514640050782379,0.3711296288169922,0.17383729001922466,0.9575252090147448,0.5447226506761997,0.09961887650569692,0.9878593756762406,0.3725188052949505,0.14672713763063605,0.06041989621564832,0.3795101465496067,0.724138852207776,0.3018989554532927,0.5029684083346959,0.9373320606476712,0.00234407380876578,0.893057799729345,0.21784304412989844,0.8670343441310322,0.25432904549226143,0.6713839787887794,0.31681260682710827,0.2620802790301182,0.9696542382883606,0.8471069709564462
Lung Cancer,0.8202344805998402,0.21695600508322152,0.016101676563122166,0.584785114409273,0.12706022082817983,0.6122967748965633,0.7986881288108202,0.14077801590012076,0.28922230197510235,0.09605216690206893,0.485538739629776,0.34737483460919205,0.0040363935545806055,0.022093918870358862,0.04058773424269084,0.22163193177763937,0.20356027082912317,0.3427962295524992,0.5336593331786139,0.3265619040743929,0.11099365747309191,0.4819826322348779,0.8530317405859361,0.5151813820152813,0.050347839542561224,0.939081332691655,0.6109903394488592,0.7458825569613419,0.8302957506114041,0.3157953581571136,0.12000366865553373,0.8891738601608901,0.8423748108228818,0.6048185883762767,0.6232769278942394,0.762695527078414
Breast Cancer,0.2891201918670046,0.04122669981243061,0.9558360603869237,0.8506095583620601,0.057299508101393504,0.2231248178773673,0.869475236028857,0.6788204790669589,0.590267249229902,0.6572286971168085,0.09863017217525316,0.6558879769223642,0.9676058377556672,0.7718064003494449,0.9103365440548119,0.19200941434486304,0.6289406065819896,0.9749655121615296,0.8347091249286811,0.03286161012130781,0.7528662170989002,0.28311715318390807,0.0326927518267651,0.6161719493705242,0.11667795764270027,0.2319702841666087,0.3004833310143988,0.6332597693885482,0.3846996046531259,0.7061649594759432,0.7619184577700732,0.6018654309769457,0.48356425151950666,0.047471045028423,0.4685248746522628,0.3765234818652653
Pancreatic Cancer,0.32621741159453677,0.5285943323380531,0.6847188635940777,0.1550612661421323,0.19762052839336153,0.7509944508211899,0.2081437605343467,0.9963330388949384,0.17847534921600128,0.71459033503557,0.33907037851019284,0.954187022622515,0.1287434575398018,0.6796437442954635,0.06325956865887232,0.3080728605440201,0.9862495028206264,0.47473710404212177,0.0394306213457385,0.3583136745859673,0.02121746529909889,0.053733391123458984,0.04315724091059489,0.8985056980347659,0.4661698078149943,0.07547696030803866,0.4619172729722806,0.1935177317448383,0.49577936140161294,0.5718370440815266,0.5726236594336075,0.8658513754760889,0.9459518810567686,0.11932058242848721,0.5916485886591233,0.2758155036735458
Glioma,0.02063262895597805,0.7560721445364111,0.727798800523553,0.22090964447087952,0.517410018265751,0.4915063822914626,0.7874839978343214,0.21893394064711477,0.4873326941846653,0.42959578278895993,0.9142741437360727,0.9818894947553855,0.1346700323877758,0.017983583742812847,0.7689294844485044,0.7869199656861052,0.4649376932481405,0.30246172654670195,0.07136843999015866,0.3868058037168369,0.33246163332757583,0.07597067604280547,0.4840993323963865,0.5376407602235296,0.5188423258764787,0.6966194224529971,0.03549495573710737,0.03878414127629867,0.6728825276130654,0.13566291746462936,0.8163865018749134,0.025166412811333205,0.3042120428133596,0.8375095746133536,0.22090964447087952,0.2941505602450388
Ewing Sarcoma,0.6734589975422935,0.1272159953159875,0.06589472039088747,0.5350755062766513,0.3948890883363402,0.43923387618886767,0.541361632626163,0.06427130284402022,0.5668307307163287,0.32829422956501797,0.27305989737995473,0.779127287251723,0.541361632626163,0.18761411787479576,0.6734589975422935,0.10054017943009602,0.09833118794961312,0.46232612062451384,0.14367547273095144,0.012536389668570057,0.42503815489214547,0.6803504180481623,0.659750043107423,0.5226031535880373,0.227785653323252,0.6259301508467393,0.4112256782090655,0.6872658389566565,0.08580101895154528,0.3736648667172987,0.9776558930236225,0.09615710991420598,0.6529334399539918,0.7011667687510688,0.056594108796996404,0.7292353374489888
Kidney Cancer,0.9849400483404018,0.8849015088305833,0.5061465835201627,0.7865148626867856,0.7913733978200618,0.2349737905988936,0.8452698052894374,0.5956535128148985,0.9849400483404018,0.8502061902084872,0.25946936992853786,0.9749025019933399,0.7768207117441497,0.01789347798041822,0.21699266668730374,0.8551479470173743,0.3489737543021465,0.8157739948259723,0.29760050038866187,0.06880769728594098,0.6477195279851131,0.5737559530736434,0.4125038246613568,0.10234904601068495,0.0979680397059128,0.7913733978200618,0.41992697220250474,0.2795976355152773,0.15423604448098627,0.14263670537136702,0.5437007991990148,0.2651241095103529,0.3591457825704002,0.36602063833951404,0.9398091995407436,0.8600949015145793
Gastric Cancer,0.860813126142242,0.7210335182048953,0.33969429263636486,0.2354408140468622,0.22926741975528095,0.019629387968794695,0.9710701433802329,0.8418384605614527,0.7994744542691842,0.3670497307786139,0.7324183489147094,0.057951163243597933,0.9157513880049669,0.8323826852219383,0.5460762372666602,0.0536194871836987,0.5521889362173784,0.17043746044064084,0.5542334831984879,0.9566163710975804,0.9548397533571387,0.5041917954419018,0.6430748520151477,0.34601762398908975,0.12391731686529883,0.023684423849381776,0.2256157517624116,0.5874094722042709,0.6235720956668462,0.9831219598256273,0.46396261662135463,0.9253516782792711,0.3444302345322383,0.7784906465089783,0.21606923347699775,0.4254779833659984
