Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Bone Cancer,-0.33636363636363636,-0.22727272727272727,-0.5181818181818182,0.06674238124719147,-0.24545454545454545,0.3272727272727273,0.05454545454545456,-0.15454545454545454,0.4727272727272727,-0.3090909090909091,0.15454545454545454,-0.5727272727272729,0.17272727272727276,-0.09132515299544462,-0.38181818181818183,-0.6090909090909091,-0.14679516868351475,-0.25057012616801283,-0.4272727272727273,0.13636363636363638,-0.18181818181818182,-0.4272727272727273,0.30000000000000004,-0.05454545454545456,0.3090909090909091,-0.5454545454545455,0.3090909090909091,-0.29090909090909095,-0.8363636363636365,-0.6818181818181819,-0.21818181818181823,0.374433127281323,-0.009090909090909092,-0.4272727272727273,0.41818181818181827,0.045454545454545456
Lung Cancer,0.11657837191023576,0.07103604236970378,0.07425710672049195,0.054272135412576264,0.11536547129602462,0.21268293827550058,-0.09433893176292542,0.005094104723566344,-0.07811046779873952,0.04243134383028092,-0.22815931430370234,0.09188176586888291,0.030629733474218462,0.16874002000110572,-0.030839133873594105,0.15022504610184728,-0.04798640293727737,0.15504984477765663,-0.04111314536817347,0.02624687293160514,0.12419461853602698,0.06641669718080491,0.1447702017281645,0.1525480081274457,-0.13859953365609382,0.03233115634428555,0.05803036561404961,0.009244965214246916,0.06156013867673833,0.08819600674915636,0.057769315269380034,0.014873103951641308,-0.00038960144943832634,0.04007130168102903,-0.005445624313461664,-0.11974807762775652
Glioma,-0.15900452488687783,-0.014479638009049773,-0.17963800904977376,0.3053530580710974,-0.05700050576447646,-0.18457848790335185,-0.23769768552883433,-0.08796380090497738,-0.19149321266968325,-0.06398190045248868,-0.03294117647058823,-0.10679457906359005,-0.021368104419644547,-0.0702526265820784,-0.260968202213549,0.14452488687782805,0.14372311425426462,-0.09600043019114994,-0.05285307032878523,0.04443539447731112,-0.043076923076923075,-0.09954751131221719,-0.03294117647058823,-0.06877828054298642,-0.1343982626351112,0.10262443438914026,-0.02366622926537216,-0.21239819004524885,-0.2404524886877828,-0.047058823529411764,-0.17099934392032454,-0.24537438582257923,-0.1420814479638009,-0.20673440996650136,-0.08307692307692308,0.13570442773671695
Esophageal Cancer,-0.07635467980295566,0.24535041447341358,0.405911330049261,-0.19809477089798136,-0.08772795545516096,-0.11873383511665193,0.25221674876847283,0.2344827586206896,-0.3438423645320196,0.30837438423645314,0.42216748768472895,-0.23251231527093594,0.2059366932728652,0.298407555832237,-0.004433497536945812,0.22364532019704428,-0.121496889471448,0.18844685449012186,-0.03276265574795583,0.1926108374384236,0.06896551724137931,0.050738916256157625,0.17487684729064035,0.3098522167487684,0.1532019704433497,0.28997290852913227,0.15666954177217976,0.14285714285714282,0.3940886699507388,-0.13152709359605907,0.265796282346198,-0.3290640394088669,-0.2753694581280787,-0.004433497536945812,0.2970443349753694,-0.18472906403940884
Gastric Cancer,0.5732600732600733,0.10073260073260072,-0.14590964590964592,0.295236259093077,0.10056558497375555,0.42089195391319045,0.12515262515262515,-0.06686002214975414,0.2851037851037851,0.23904747645323057,-0.07997557997557997,0.3778998778998779,0.07358778969000834,-0.04197826946317395,-0.07082888191206832,0.0586080586080586,0.21648806046599753,0.045253083406499674,-0.03479853479853479,0.3363858363858364,0.32967032967032966,-0.05433455433455433,0.24786324786324787,0.11965811965811966,0.009157509157509158,0.20027476954446904,0.5457875457875457,-0.08424908424908426,-0.016483516483516484,0.09035409035409035,0.5543345543345543,0.11206107392627826,0.3919413919413919,-0.010989010989010988,-0.0006105006105006105,-0.009157509157509158
Ovarian Cancer,-0.06652572233967582,-0.023819591261451726,-0.1058491895701198,0.20457686389982008,-0.10924610100425759,-0.03271176529879182,0.020718816067653273,0.0927413671599718,-0.08414376321353065,0.120507399577167,-0.13826638477801267,0.02480707566993437,0.32039489761100176,0.2582553753324063,0.12849339406537516,0.2916138125440451,-0.06075364764850835,0.3002650689760429,-0.16560958421423536,-0.20909827702470246,-0.11966173361522198,-0.22480620155038758,-0.19450317124735728,0.17795475412438297,-0.020155748981821674,0.0551092318534179,0.3141649048625793,-0.07977448907681464,0.015786320880867327,0.42297392529950667,0.0008456659619450317,0.38648717463094356,-0.1434813248766737,0.09162026945017737,0.02966982629841582,-0.049753347427766034
Bladder Cancer,0.1946607341490545,0.13948832035595105,0.10166852057842046,-0.05557789307831448,0.12810529195149778,-0.1354989439912038,0.160845383759733,0.01846496106785317,0.05050055617352613,-0.05272525027808676,-0.15728587319243603,0.3657804005279788,0.013573654096617137,-0.18323943741065626,0.0424916573971079,0.054505005561735265,-0.1323508893985798,-0.14581481435318758,0.4487208008898776,0.3139043381535039,0.19377085650723025,0.5595105672969966,0.06696329254727475,-0.13281423804226916,0.014460511679644046,0.21334816462736375,0.4538880882463969,-0.0028921023359288096,0.06651835372636263,0.05272525027808676,-0.017130144605116793,-0.09014022704757207,0.2783092324805339,0.5087875417130144,0.046496106785317015,0.0033370411568409346
Liver Cancer,-0.15939849624060148,-0.31879699248120297,-0.3969924812030075,-0.1069659043734371,0.009807676286228667,-0.13463709113096747,-0.3398496240601503,-0.3639097744360902,-0.11428571428571428,-0.12180451127819547,0.29774436090225564,0.07218045112781954,0.08721804511278194,-0.10153855188734891,-0.06995111438648031,-0.11879699248120301,0.07817604411920284,0.05126289988877219,0.004511278195488721,-0.3533834586466165,-0.06466165413533834,0.13684210526315788,0.2827067669172932,0.4330827067669173,0.38646616541353385,-0.39864613575090924,-0.15789473684210525,0.2796992481203007,-0.4676691729323308,0.13533834586466165,-0.3443609022556391,-0.25303756431344715,-0.7338345864661654,-0.3550207095743947,-0.2526315789473684,-0.4496240601503759
Pancreatic Cancer,-0.10380034032898469,-8.103071063933231e-05,-0.03330362207276558,-0.04525566827524883,-0.051369504027501456,-0.10551053519247516,0.008670286038408557,0.03362774491532291,-0.1761679025796725,-0.02584879669394701,-0.14658455554655217,-0.020744702419685446,0.10771600253581778,0.269805438133681,0.19407641521541658,0.11870999108662184,0.10130646601246086,0.1037445321639178,0.01807058062339787,-0.19730978040677416,0.16676795929575253,-0.12259946519730978,0.02811765659184831,0.13021635199740703,-0.27729832687563905,0.2529173428077688,0.11627906976744186,0.0052669961915566,0.06571590632849851,0.3775373772395097,0.07317073170731707,-0.004862433683967028,0.22194311644113124,0.0882424438862329,0.2041163601004781,-0.22323960781136054
Breast Cancer,0.11330213903743316,-0.11196524064171123,-0.05164633199332943,0.07153078476462062,-0.29293200087783106,0.19719251336898397,0.05347593582887701,-0.10696080926456006,0.18883689839572196,-0.16911764705882354,0.502005347593583,0.039114083970805506,0.12569996216258864,-0.28753956310207557,0.27229419995060755,0.05648395721925135,-0.16573128188664377,-0.1446511744785649,-0.13670928434126584,0.1275173397950927,0.22846160353852127,0.24899732620320858,0.29445187165775405,0.03676470588235294,-0.23850911247404885,0.10561497326203209,0.1229946524064171,0.11898395721925133,0.03342245989304813,0.0768716577540107,0.2079050730079886,0.11291407493960126,0.2149064171122995,0.0011698838513311256,0.22225935828877005,0.049799465240641716
Rhabdoid ATRT Cancer,-0.27941176470588236,-0.04901960784313726,-0.24754901960784317,-0.020859662185981943,0.047852796757736286,0.09313725490196079,0.16421568627450983,-0.022058823529411766,-0.17892156862745098,-0.12990196078431374,0.02696078431372549,0.15686274509803924,0.28186274509803927,0.18065253040960433,-0.12947225102819743,0.1936274509803922,0.11319668853419673,-0.12796225774933562,-0.39117113422292316,0.16911764705882354,-0.14705882352941177,-0.014705882352941176,0.002450980392156863,0.07598039215686275,-0.36441745223199173,-0.49754901960784315,-0.2377450980392157,0.37254901960784315,-0.019607843137254905,-0.02450980392156863,-0.22794117647058826,0.15916467644316099,-0.2377450980392157,0.34068627450980393,-0.20098039215686278,0.06372549019607844
Kidney Cancer,-0.25465838509316774,0.03670242800677584,0.189158667419537,0.1837653466316437,0.09850017807625663,0.19881390230814175,-0.03444381705251271,-0.23884810841332585,-0.0694522868435912,0.04686617730095992,-0.1293054771315641,-0.14059853190287974,0.08192091702909822,0.46625031370372366,0.09768492377188029,0.3709768492377189,0.08312137228067953,0.12146894593969734,-0.29644268774703564,0.08300395256916997,-0.042348955392433656,0.17560700169395824,-0.20383963862224735,0.14798080228617372,0.0005646527385657821,0.09316770186335405,-0.11349520045172222,0.16657255787690575,0.0942970073404856,-0.311123658949746,0.19706380575945792,-0.19384013746160633,0.2783738001129306,-0.028797289666854884,0.12478825522303785,-0.22868435911914178
Colon/Colorectal Cancer,-0.05088090204369274,0.09556025369978859,0.3196137861204264,-0.04046190646087763,-0.08256252573248515,-0.16498114813442144,-0.09401317881730809,0.18548927035019108,-0.22494714587737846,0.07272727272727272,-0.2840028188865398,0.24807075669934367,0.08542731410160982,0.16313769941732884,-0.23749119097956306,0.22115723502665896,-0.1545667682940879,-0.06434335251889227,0.002536997885835095,0.037632135306553904,0.1317829457364341,-0.045243128964059194,0.21155743481324876,0.09027802253746,-0.023327930144622085,-0.16518675123326285,0.008033826638477801,-0.26272948323157763,0.20944326990838616,0.15052854122621562,0.14158356540027883,-0.15912614517265677,-0.08146869168876172,0.018748238133833542,0.10246652572233966,-0.2153629316420014
ALL,0.014285714285714285,-0.2571428571428571,0.4094899573819413,-0.1963903005448526,0.174025974025974,0.36883116883116884,-0.01038961038961039,0.24155844155844156,-0.22987012987012984,0.3304029043140505,0.07012987012987014,-0.1753246753246753,0.02727272727272727,0.1513478481901384,0.024952309594341318,0.08311688311688312,-0.0994152256651379,-0.18961038961038962,-0.062337662337662345,-0.22077922077922077,-0.06103896103896104,0.12987012987012986,-0.06885352750280975,-0.2,-0.06757636254362315,0.2896103896103896,0.1753246753246753,-0.15194805194805194,-0.22857142857142856,0.12727272727272726,-0.16363636363636364,-0.0987012987012987,0.2038961038961039,-0.21428571428571425,0.24155844155844156,0.2506493506493506
Lymphoma,0.008097784568372804,-0.10832696715049654,-0.3204723333039279,0.40989852607708654,-0.029793735676088614,-0.13949579831932774,-0.006569900687547746,0.009017270786536889,0.027349121466768524,0.3342821211150444,-0.028115211328138247,0.1361344537815126,-0.28770053475935825,0.2890111704634111,0.3410122371406804,0.2501145912910619,-0.3393430099312452,0.32398564311173933,-0.13796791443850268,-0.009625668449197862,-0.015126050420168066,-0.2333078686019862,-0.04049201631498171,0.23055767761650112,-0.2909313172216044,-0.05729564553093964,0.029032011697534058,-0.10833524365027182,0.22811306340718102,-0.199694423223835,-0.0505729564553094,-0.05685900300473602,0.3809014514896868,0.08143621084797555,0.13124522536287242,0.13782565553250378
