Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Bone Cancer,0.3118243139003863,0.501535667604937,0.10249153979096381,0.8454146217442614,0.4669223669820163,0.32589494101284167,0.8734465775233149,0.6500339654975799,0.14199852020631992,0.3550284397015071,0.6500339654975799,0.06554305260101842,0.6115423848512369,0.7894319152541067,0.24655957577897006,0.04669570935409886,0.6666844982807617,0.4573852261533532,0.189943724965427,0.689309020586362,0.5926152128455,0.189943724965427,0.37008312228206786,0.8734465775233149,0.3550284397015071,0.08265095734417506,0.3550284397015071,0.38545696969136556,0.0013331850799508562,0.020842853610945056,0.519248247554982,0.2565790405512603,0.9788365001441937,0.189943724965427,0.20057021703405067,0.8944269969053026
Lung Cancer,0.1918121314339598,0.42741457971915375,0.40670428327234276,0.5445044497380045,0.19650774626688802,0.01636598755820321,0.2914303678753499,0.9546723324863594,0.3827222522197906,0.6357406251254782,0.00988218057245877,0.30423586820506254,0.7324661310645508,0.057904039620952884,0.7307071449407652,0.09183583769757098,0.5921374279096829,0.08175565794201943,0.6462810532926617,0.7695885403358078,0.1641780905430973,0.4581495074387578,0.10439434355404402,0.08686589093261067,0.1201834258705722,0.7182149540590179,0.5169529956878323,0.9178379349406094,0.4917420747209258,0.3241260993979066,0.5188434267777842,0.8681858276669434,0.9965314680378966,0.6546617756410695,0.9515481673225464,0.17992693457419479
Glioma,0.265074689813814,0.9196719290133961,0.20717980631692465,0.02933688742945469,0.6911486776192531,0.19475182851301645,0.09303796803981308,0.5393439657944883,0.17826127816122644,0.6555596535427809,0.8184980230250813,0.45573056219844366,0.8816857251980978,0.6242242856442153,0.06435985376968656,0.3116090460408653,0.3143295311258521,0.502772228948416,0.7126147264313878,0.7568513749095647,0.7640676408611231,0.4870450043412168,0.8184980230250813,0.6315353704369921,0.34707580217914213,0.4736139422710557,0.869066992318275,0.1345612498893437,0.08919867346640746,0.7429740688075187,0.23023024941974304,0.08264815331094788,0.31994691384783597,0.1455158055225866,0.5621958809783496,0.34236649054477675
Esophageal Cancer,0.6938237420680635,0.1995451014901436,0.028904654212987466,0.3029621964625128,0.6508923785011337,0.5395774968305915,0.18685422942825958,0.22082315986095571,0.06779914867943493,0.10362154967306138,0.0225325123974524,0.22483934932841254,0.28382714881678317,0.11586833460668551,0.9817898920567729,0.2435193937554978,0.5301130588343959,0.3275865757046641,0.8660196224934096,0.31681260682710827,0.7222315973301038,0.7937943350445308,0.3642293473635895,0.101891616860788,0.42752841989054247,0.1270442308366036,0.4170156050203666,0.4597406544794369,0.034400851416541915,0.4964392674121728,0.16343489743559192,0.0813279351390293,0.14823183370045917,0.9817898920567729,0.11762338310073187,0.33739314483971605
Gastric Cancer,0.0017736559372587312,0.617125003486356,0.46772009183856056,0.13489919881251006,0.6177117808813322,0.02879847731263415,0.5339461707880506,0.7403826236540041,0.149455195587736,0.22980658323832398,0.6917085346639418,0.051959582325077566,0.7152792516772111,0.8353106471418816,0.725540342939159,0.7715288186972193,0.27809768429550674,0.8226562748053805,0.8631904917285698,0.08623395695505695,0.09309784188487945,0.7877990121081514,0.21256074097132016,0.5521889362173784,0.9638418632217349,0.31653157159794726,0.003232090795325119,0.6760929771422003,0.9349621823905485,0.6540113832703276,0.0026962776253369406,0.5778751275822357,0.04318286452751535,0.9566163710975804,0.9975886860480585,0.9638418632217349
Ovarian Cancer,0.6678840615902402,0.878024203803725,0.49407871377356993,0.18283328930544754,0.4802427775046173,0.8330472612340856,0.8938052125856606,0.5493333063940486,0.5871001444085628,0.43586814854640243,0.37075406646276876,0.8730080211483167,0.03397852015800641,0.09053090966596565,0.4058349652902796,0.054777588884762494,0.6952393924059467,0.047663641109364024,0.2826681252676676,0.17313971428826908,0.43911912219441007,0.1423434096553142,0.20581063763325588,0.24780841191022823,0.896675405433121,0.7223649932281725,0.0378154521475082,0.6067263464381176,0.9189898035274109,0.004229310558707689,0.9956531300755014,0.009557961369017026,0.3528019430309616,0.5541917896056393,0.8483817602398165,0.7484194295664155
Bladder Cancer,0.3026351885449699,0.46224773674605024,0.5929347347453278,0.77051360454809,0.49990773559998114,0.4752731008922034,0.3958253472885638,0.9228476207693762,0.7909951119419784,0.7820032331043918,0.40649970997409246,0.04683108709084908,0.9432465321961496,0.33242695531196975,0.8235763471138855,0.774829447329479,0.4856842775492156,0.44198392953631926,0.01287627495783264,0.09116763283298056,0.30489406685994547,0.0013062116202086091,0.7251507830564099,0.4841446192155957,0.9395449585639919,0.257636218204248,0.01175643614142688,0.9878984726602261,0.7269076460133548,0.7820032331043918,0.9284101765283992,0.6357096955220879,0.1364367686460805,0.004090208667337106,0.8072462140105008,0.9860368669198689
Liver Cancer,0.5020524593517314,0.1706978721400242,0.08307130670785144,0.6535355550102954,0.9672657595005366,0.5714395255337563,0.14263670537136702,0.11472526385210588,0.6313917305184382,0.608956622164901,0.20231998601897425,0.7623392575365604,0.7146383646582315,0.6701375560426062,0.7694863715836783,0.6178918280262936,0.7432108819414677,0.8300530238162701,0.9849400483404018,0.12640665077932206,0.7865148626867856,0.5650957921363965,0.2271532851047362,0.05646561004225936,0.09234164249328174,0.08168001962574345,0.5061465835201627,0.23234786067734586,0.037588510204148884,0.5694186911507699,0.13707258150434384,0.28175106624506935,0.00023068909336833247,0.12453637946191345,0.2825500572639195,0.04670190938806289
Pancreatic Cancer,0.5130006515868648,0.9995936449804519,0.8341542598266346,0.7759621341348927,0.7466354093612938,0.5060436189536621,0.9565407035706395,0.8325630809685938,0.26442241589970233,0.8709193108499567,0.35427730115576406,0.8962517751278196,0.49714286694174337,0.08399209465272006,0.2181165837582345,0.45399884748094754,0.5232308634269838,0.5132284825381441,0.9095662403584552,0.21039506308319966,0.29116120320904865,0.43923716386924827,0.8596978318940911,0.41111168222122085,0.07541799164704163,0.10608946966464179,0.463359762086446,0.9735915625703279,0.6792531225591419,0.013706515956271476,0.6451516419862137,0.9756193846713175,0.15776254641969287,0.5784132904491237,0.19476722378145184,0.15528677976857672
Breast Cancer,0.530133999825048,0.5350297188371909,0.7753098622813837,0.692417592298356,0.09804632184392374,0.27135365330973044,0.767564295546312,0.5535460259287673,0.29258682241749057,0.3467826629243095,0.0029135610959868338,0.8289004352538617,0.48578964948993175,0.10468046985674756,0.125268367451426,0.7548780969314797,0.356663912612306,0.4218853724539927,0.4480761908134203,0.47945384360011234,0.20096772229193424,0.16230861530471802,0.09623543681874737,0.8390395131748796,0.1813251522703409,0.5585759882590495,0.49530014797909305,0.5095716695403048,0.8535069513307668,0.6706930244559344,0.24563660565231182,0.5315528580479338,0.2297370643322871,0.9948446398107361,0.21380427936121113,0.7831501222160653
