primary_disease_renamed,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
ALL,-0.058385651395997086,0.023373002912548662,-0.04240151146500073,0.13493951950965924,-0.1369443719556711,-0.019528781639837064,-0.1763055772133286,0.08073642346613359,-0.25468185488334416,-0.09326141280244996,-0.09077096309616128,0.012195445352215697,-0.07329847391887569,-0.13122963417999095,0.0322341370368981,-0.10098988165923697,-0.11905501036606284,-0.11329801076964026,0.06673932738424573,-0.17355798867355463,0.03558535184467778,-0.04853661738034644,-0.14118892702236116,0.08402085089920482,-0.09031878261765942,-0.10796261422792133,-0.18104280116024335,-0.17843955628654093,-0.06994228347627376,-0.07406953928419108,0.025013371888040026,-0.209281769286574,-0.05713481487229004,0.03962838659239724,0.04481008668500772,0.10071531026863074
AML,-0.1381449536646852,0.02037590893630983,-0.08071280313164494,0.08058388126212437,-0.023216699900956365,0.039670615292146244,-0.1214138820757008,0.06018713233720195,-0.12526692708886036,-0.12425068737221898,-0.058770805038825154,0.014945107992154672,-0.06377505913972885,-0.14050225446443995,-0.01948447174867115,-0.09285410481957085,-0.08570796319534882,-0.05560742830737749,0.04121763090611864,-0.16262658577405298,0.01416546246525478,-0.035117215308542726,-0.10881889581290982,0.09152050802028806,-0.0812319515836484,-0.08811125966631382,-0.22913481511382092,-0.15165713285142346,0.044852232835476326,-0.05631418507566175,-0.014842946809687467,-0.0252012253374949,-0.07261533357903163,-0.0031685260574373405,-0.05450700748814391,0.10149536372468573
Bile Duct Cancer,-0.02422996308112997,0.0715249285104664,-0.038001797844541226,0.17576750756924717,0.0649413278482936,0.03717379449298414,-0.09926135472799005,0.1394788180960835,-0.07064837203232353,-0.6186398609310999,0.03464026821971278,0.08523635455884955,-0.14615835686929457,-0.05516262219200532,0.009701756852555544,-0.017230367366983117,-0.10950527870068194,-0.0705963161059212,0.12549325499604363,-0.1720788037793104,-0.09268348746874995,-0.03034393653042064,-0.6304562593894084,0.15245398928948894,0.005280269080501948,-0.01250044145439007,0.08580819735293067,-0.25195788962510907,-0.03733624976867268,0.02307246786031356,-0.08864417046129586,0.005133923983964341,-0.08494684691478456,-0.006106823154086986,0.14844302085958058,-0.0292270964463441
Bladder Cancer,0.008914378379935507,0.037940309027683985,0.015580336178466773,0.18438568220653692,0.030911991319538635,0.020269698203700313,-0.09824976223289703,0.13169531534018097,-0.045865810603265306,-0.38772190382428023,-0.02978366121728114,0.05882717862414603,-0.09820955384390109,-0.0697096262052569,0.0022337893146257217,-0.040579072491992677,-0.11000198588049269,-0.02542277793815622,0.06828470688896933,-0.14789786980741107,-0.005628001534541668,0.03350872448565451,-0.5424635071860922,0.14598922727743335,0.04060261131938507,0.017614888408508392,0.04666874219748579,-0.22449484691048477,-0.016929567306017277,0.024742185357078207,-0.06654273561137626,-0.013192383559451171,-0.06731145600778342,-0.07886893371654725,0.06797547081890257,0.018635967410658653
Bone Cancer,0.01691363378362192,0.05365281803640807,-0.04245298473121204,0.12261442192846007,0.08906694062465148,-0.018676963334516964,-0.10452794440423072,0.0905350086988672,-0.04224144976860461,-0.11829558248968522,-0.06696048143423271,0.06819473477345064,-0.06616216798230594,-0.13124196188169993,-0.05047402702889002,-0.0780610258813178,-0.09797908371734462,0.026134025495813503,0.04168363250291363,-0.14756995830237768,0.000518959034471999,-0.006449817586604517,-0.6977838109867276,0.09944843896291038,-0.010780206483806907,-0.011458218857720723,0.01356751422333057,-0.16737297264407766,0.003393067377884299,-0.0378819703378308,-0.03950999985984623,-0.048141177530907873,-0.07896837467551202,-0.020072441381719718,0.2122492998006659,-0.05004332380020044
Breast Cancer,-0.075502556534468,0.044182303183388734,-0.004638128795051746,0.05210118370169421,-0.02813786658985936,0.0035423388487711197,-0.1848369570159752,0.004782261836488737,0.006951178332878473,-0.15299608279972354,-0.20092057359938145,-0.10783989705658327,-0.059281444448473795,-0.04971340982126968,0.023827783781232972,-0.18815661144357299,-0.08323289585459474,-0.09253539895545904,0.01962817235189722,-0.06991587634016437,0.05605333682649327,-0.012115718387032518,-0.19044895380712448,-0.04613256527014719,-0.03715208708697098,0.05920685731875019,0.006011186595307189,-0.13937904946777316,-0.09059522906737655,-0.06514741086454748,-0.0026112098752663444,-0.03804764335012301,0.013504296896798006,-0.060765818360421525,0.0029276899623632466,-0.031873268944455975
CML,-1.3006718737754812,0.07304395093068869,0.026438354552184802,0.14093682328771145,0.04651847242142955,0.0296953891159396,-0.12404865360547043,0.031777351043050364,-0.062071231368727164,-0.17586039189894334,-0.05183530796854634,0.0983828428117616,-0.07732356126571552,-0.07359955776442748,0.03323887725923269,-0.08881273759099764,-0.11427100656035254,-0.06241574343771676,-0.07097642893402888,-0.145735368850147,0.03195142304620001,-0.00649745614419413,-0.20283157014084083,0.12583232811359593,-0.02285224699359213,-0.052102641173109476,0.04767359435325387,-0.14466974985753678,0.044330189685942455,-0.044089598878724934,-0.07270730093875641,-0.059029963625781126,-0.06680095333953702,0.00641241726558815,0.11743035972012861,0.02521374665069649
Cervical Cancer,-0.014827304313511678,0.01418587185338388,-0.011621683129801488,0.16030297725060957,0.01138507622558334,0.0016084039873118729,-0.12090629406271743,0.1367956901019179,-0.05442346295187838,-0.43214099577732573,-0.015789263099676393,0.04458458856214803,-0.10822573966092042,-0.08966755062919603,-0.00578446792593629,-0.05726817709924034,-0.12106399501929921,-0.05979203189110913,0.07067228017946303,-0.18417025203902995,0.1924037996083,-0.0005503293662672624,-0.2901588087672644,0.053887496719139893,0.00428370017722198,0.054124936034002674,0.07662418113511311,-0.16662999293786,0.005253262827219533,-0.010934613823637843,-0.05925211611574623,-0.01095753890527001,-0.11232090233466203,-0.05705796616978316,0.11970008705280452,-0.048895178880674385
Colon/Colorectal Cancer,-0.06433782979573459,-0.006070743357821149,0.013629821144254435,0.06024432545801965,0.007177366772238122,0.02322413252039204,-0.11083661712279735,0.06577635962389583,0.06099986146859083,-0.3449365241443322,-0.07949978421159201,-0.06517653761504791,-0.11375406844307108,-0.06289504821557283,0.029184419436217263,-0.10906165413931113,-0.08269110205742618,-0.07907489217019155,0.06939535483809578,-0.08973535899015232,0.033635867171730886,0.012375122103978724,-0.32818919628662274,0.05809261450906672,0.020867536572660782,0.03543079472985447,0.044691672660970606,-0.17618538889725666,0.024600886375884454,-0.043695955928187334,-0.012128830714470214,-0.009916423302328373,-0.005169378310485808,-0.04541196854704869,0.03796332286182341,-0.018711538547411165
Endometrial/Uterine Cancer,-0.036534968484799535,1.8806899597668282e-05,0.017000351636378457,0.1307769122471926,0.03966098521771144,0.02294999797713975,-0.10099012382942522,0.06508436609811658,-0.08421086543984495,-0.20924837953921696,-0.05261855286908144,-0.014047742272516853,-0.07810716074935636,-0.06559866301067815,0.0049704483501093145,-0.07420703475168405,-0.09340512880296116,-0.06005751004834745,0.07957897475386567,-0.16880463796348363,0.09603037967354762,-0.04170612251512399,-0.42892621058805874,0.10499120445469994,0.03079756034829763,-0.04769790942025253,-0.021544070580672484,-0.16166022509696126,-0.062121504000498866,-0.0330111638581098,-0.029815140249301424,0.013979318100874893,-0.038241288967619344,-0.05037519278863374,0.10286182547174724,0.01189591478394168
Esophageal Cancer,-0.06668113163873433,0.025998935164550555,0.002742490763134461,0.09080183856894611,0.012810998324392921,-0.0015585304001092199,-0.1168045732540728,0.020450620628751,0.032577087308257,-0.3831340068625446,-0.08174700152086813,-0.021080118227653256,-0.08534761082933812,-0.0918942692433869,0.005834089825718562,-0.08473877289850557,-0.10996912491035297,-0.08526526964626742,0.03725032042215189,-0.14163931485993264,-0.000309075432526251,0.012052809896659243,-0.26812096603281227,0.04112194918630599,0.02121861809488122,0.021220727679080995,-0.005901859650513811,-0.13277355928064213,-0.04277076512181112,-0.030597946015046548,-0.02469256129655507,-0.017588586597262028,-0.05045297229469991,-0.054248192799651845,0.05195210661296318,0.015256955035094926
Ewing Sarcoma,0.006998619482034627,0.10277325759059551,-0.030520649276513743,0.1535368376457696,0.019276079629548398,0.004327734937562688,-0.1109062426249948,0.07897626141112053,-0.158744248875077,-0.10996067614325686,-0.0025932535676480347,0.025558835135481333,-0.14265674990467758,-0.08245126228062759,-0.0064144541500687855,-0.06262766550290118,-0.13227675998781435,-0.05767015775390113,-0.0038384961056069223,-0.1534149045728466,0.06141132869948,-0.0017213049835808686,-0.229470807633204,0.059508191470207465,-0.058121334328747394,-0.004079556333027535,0.0021536171300423216,-0.16943068766547467,-0.036108429605248044,-0.021626420580480612,-0.09436186774851503,0.031638223400389714,-0.09504934950889887,0.002944265620773131,0.08569662562395138,0.044048087212935405
