primary_disease_renamed,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
ALL,4.939504163034076,2.5459367187764794,0.2561638669915221,0.03481572641919095,3.795484837992095,3.5205820977169067,4.897733532243104,1.5441283886688835,6.413962827444096,0.1466599628189028,2.79229252644442,2.058754673407427,2.755133303381152,1.209743214072673,0.07733000574610949,5.93849337287539,1.0172270753383121,6.163038271683417,2.5640494107973155,3.9895212343806588,3.9763034627603364,4.508320061891647,3.339742647264685,6.034741521818906,0.6405478790142558,2.782980534787195,3.5890337282891003,2.4537081091707402,5.165503651002574,6.120659179415042,4.71743812008143,3.5826583803563503,3.996148790521616,2.466031010446967,4.705701320975843,2.2891237573275687
AML,4.337224517701413,2.340146382112033,1.1371812535807875,0.3014963558666292,6.280668496747373,2.1801079460085475,4.585201572992368,1.1462902792594083,6.634981727988607,0.20219673911451974,2.8272559421438723,1.8909579677908974,5.541666255168117,2.4960012732715446,0.09372679310916847,4.040163280008918,3.74625754634202,0.40465844924770206,4.951501241760189,4.479627868003434,3.667934872804543,4.1414616256715515,3.258986705163638,5.855599090900335,0.699833735153321,2.3885368812243155,3.680062928272847,1.768454366517915,5.098627283368222,5.521039908214355,4.5119007272960285,4.834503083179383,4.5549809681746805,2.9887956592528244,4.4901180960882705,2.9696189677765483
Bile Duct Cancer,4.401618256879948,3.2952541802609834,4.5721481286933425,0.043659802583344294,0.15419383861529543,1.605219264740389,4.42039416501259,7.070088802161242,5.028420326876125,5.27551573947638,4.877711548840078,2.185773105412729,0.6569482838920119,0.14315473575969856,1.8787880757076885,3.2300302904391893,0.1146980720374214,0.8041341863553421,3.32864925972996,3.1932040706643483,4.2249838134420274,4.814564429141218,5.7518958902582265,3.1035752417241933,2.2146562405674652,2.5937137848063094,3.0273877273158827,5.043613451130497,3.3358865233824067,6.1555655370278926,3.812804508122058,2.3327515601566793,4.723532010966991,1.6243662884490877,4.222713604507634,4.936226800981644
Bladder Cancer,4.561027503816828,3.3553698268051013,4.680236764492562,0.16537869958117316,0.2179086851076072,1.8191256649187209,4.870543583472855,8.019985799370316,5.286165750150726,5.712229434394477,4.954500212718116,2.3916043294006055,0.5003323665747724,0.20560105316446436,1.5447597499705146,3.788435388145432,0.10226191628509587,0.651951835366961,3.2431535544645436,3.4815646678643644,4.4808423813199365,4.917641118651796,6.371607766514538,3.408749694277445,2.6395997402791895,2.8286329499482084,2.9018057254544676,5.318647598832587,3.759991021246304,6.294178707956583,4.227056121615587,2.512801029049386,4.846824766251557,1.2276009766776832,4.259960353893777,5.115554025368095
Bone Cancer,5.237594242133632,3.9404487387235023,5.933280245631445,0.04157548701111188,0.2055421532769414,2.503679807451738,4.418244955985431,6.564874165693238,5.539276247809592,3.48843649674437,4.774128490364897,2.512354352568479,1.329868476363795,0.19592624950456555,0.3287067910788113,5.413161466339853,0.34404623876234497,0.23913647277169534,1.9595593502130078,3.291895336666928,4.838914804996267,4.6311060544172005,5.748387191738816,1.5223280831533639,1.7779900302180804,3.1609737686976436,3.5897563638584105,3.845334845185333,3.583349156709235,5.550167649779834,3.8901540697342925,0.9483847751457355,4.759868224160012,0.995867953960215,3.9461924500720085,5.035823118803379
Breast Cancer,4.366123588612436,2.9055123586155114,2.0765994525020535,0.01740040273599768,0.1886828164507997,2.0622117133300875,4.611244700328594,4.0736724209117705,5.175885911760465,3.003329641847611,5.195372227930999,1.7874151043673838,0.6461091631730582,0.15389977511880712,1.1512522076793263,2.4308535003978182,0.21486693013781585,0.24032469047349156,1.6551963017157771,3.5186421016819422,3.9960641691810497,4.872051152994346,5.884192629663422,2.606383651611795,1.6880110034325566,2.404640551783355,2.7691635843280444,4.028460585290866,3.190590339026307,5.418680607957497,3.5920298258413728,1.4397526355620405,4.788511219705061,1.1179280864861276,4.5852805549117654,4.735628529763367
CML,5.312955110352433,2.5795291560907794,0.7923316700045647,0.4335421361812903,5.722148784543979,2.555987706996544,4.182943067854323,0.9074169640997842,5.815421534299064,0.08719315548675924,3.9727257907368365,2.5442766672321824,4.178236204034196,0.6367531971930288,0.17647262113544504,4.573569842532141,1.3612334073465677,0.9562074523708572,4.564438927178916,3.6589965617719846,3.8681057426871805,4.636256676544931,5.149007286599511,5.385586871526483,0.7886070261740175,2.2831168614969024,3.4128606684005,2.3769244291511944,4.275099190771715,5.639567889088911,4.18319522455594,2.728345967135888,4.272700231084749,2.882043362040884,4.250295874623462,4.175299653785812
Cervical Cancer,4.615257240477346,3.067765914316736,4.006342311904445,0.059734586610669105,0.1497281849358242,1.850500663861621,4.45849461766379,6.081205265038364,5.244876243583865,5.135459483684523,4.316975182031032,2.4746391291088035,0.7100955651595398,0.12260278401222413,1.1160108276000595,3.589432666935362,0.6537206546932866,0.7739134994534687,2.6550376466877403,3.3765452082010063,4.3059889626602565,5.125005581083359,5.646399492908259,3.6695806436489744,3.020036882031684,2.4846952784827203,2.9194816277384485,4.035081738747416,2.882021391010384,6.033007172438846,3.7815677762459163,2.2000440180762033,4.719627586177035,1.2502770730395196,3.9930964973820684,4.653865812401041
Colon/Colorectal Cancer,4.351801052342947,2.548031374982865,1.7468040407039276,0.0639391411156919,0.18412632504547058,1.6251118239983289,4.512583384486832,3.2945985934785837,5.33095786577311,3.7444468058842992,4.998322770029448,1.7944574399513091,0.709840601467931,0.095136242652761,1.782452805825064,3.6327890053661682,0.05658658372583637,1.411692009913225,3.07062539062646,3.151003041592983,3.92028316997404,5.237310013008274,5.577616535700223,3.38110699755728,1.2521321334195494,2.9431665674417826,3.0711334401380266,5.03404863461174,3.0783232181627143,6.315636920633998,3.947953941002706,4.051898617341218,4.672860541484841,1.5243478198185643,4.230929549470492,4.549173401456152
Endometrial/Uterine Cancer,4.495177088231706,3.0261157195461275,3.732724331835174,0.051223037240379715,0.13407753629040606,1.4039278858006643,4.437946545360837,5.18822495612506,5.124732956867274,4.236798019849067,5.008195692601283,2.4214215594761423,1.1214953605829423,0.062412498107035204,1.07730407585741,3.6326681546572117,0.21546309982634304,0.6236942805502677,2.8993373162169904,3.4172893759290544,4.457974371500012,5.0220352810753734,5.774621662027801,2.658173248130597,1.2737810894411254,2.627808924493255,3.2738491820704163,4.776022564458262,3.3946275375618193,5.711588158001892,3.797135917830336,1.5429361632442238,4.687562467026081,1.3802226238609303,3.5953444989707806,4.9434313489687325
