ModelID,EGFR,Bosutinib_AUC,CellLine_Name,Cancer_Type
ACH-000007,-0.5359073578443383,11.246,LS513,Colon/Colorectal Cancer
ACH-000009,-0.7743254326853377,10.109,C2BBE1,Colon/Colorectal Cancer
ACH-000202,-0.0756294459766193,10.879,COLO320,Colon/Colorectal Cancer
ACH-000236,-0.274803437142,11.454,SW1417,Colon/Colorectal Cancer
ACH-000249,-0.2639797780576104,11.281,CL11,Colon/Colorectal Cancer
ACH-000252,-0.0427198374798064,12.139,LS1034,Colon/Colorectal Cancer
ACH-000253,-0.0116470098776975,12.821,COLO201,Colon/Colorectal Cancer
ACH-000296,0.0285553524100985,12.171,OUMS23,Colon/Colorectal Cancer
ACH-000350,-0.8646604000368958,11.451,COLO678,Colon/Colorectal Cancer
ACH-000360,-0.925634088306,10.368,NCIH508,Colon/Colorectal Cancer
ACH-000381,-0.3546266900358026,10.815,T84,Colon/Colorectal Cancer
ACH-000400,-0.114035253341,12.314,SKCO1,Colon/Colorectal Cancer
ACH-000403,-0.5701015584370664,10.21,NCIH747,Colon/Colorectal Cancer
ACH-000467,-0.3983863900954761,11.899,HCC56,Colon/Colorectal Cancer
ACH-000491,0.1568049847051859,12.209,NCIH716,Colon/Colorectal Cancer
ACH-000501,-0.5143145273305527,11.806,LS123,Colon/Colorectal Cancer
ACH-000532,-0.7227179779003778,10.647,SNU61,Colon/Colorectal Cancer
ACH-000552,-0.3707623293294623,13.279,HT29,Colon/Colorectal Cancer
ACH-000565,-1.0928343246300458,11.898,RCM1,Colon/Colorectal Cancer
ACH-000651,-0.0092169181510023,11.773,SW620,Colon/Colorectal Cancer
ACH-000680,-0.0549306765531,11.019,SW948,Colon/Colorectal Cancer
ACH-000683,-0.6410620642337346,11.216,SNU503,Colon/Colorectal Cancer
ACH-000722,-0.0017026864789969,11.067,SNUC1,Colon/Colorectal Cancer
ACH-000926,-0.3757651217378471,10.453,HT55,Colon/Colorectal Cancer
ACH-000935,-0.1221902654430702,12.053,MDST8,Colon/Colorectal Cancer
ACH-000943,-0.0205119062318056,11.08,RKO,Colon/Colorectal Cancer
ACH-000950,-0.1674169815092949,9.3869,LOVO,Colon/Colorectal Cancer
ACH-000955,-0.179124128734,10.989,SNU407,Colon/Colorectal Cancer
ACH-000957,-0.3773570661001613,11.906,LS180,Colon/Colorectal Cancer
ACH-000958,-0.5279572196323246,8.3758,SW48,Colon/Colorectal Cancer
ACH-000959,-0.6112815815739276,10.215,SNUC4,Colon/Colorectal Cancer
ACH-000963,-0.5290638040443021,10.91,CCK81,Colon/Colorectal Cancer
ACH-000967,0.15535934198,10.634,SNUC2A,Colon/Colorectal Cancer
ACH-000969,-0.0815954044809595,12.158,KM12,Colon/Colorectal Cancer
ACH-000970,-0.1503453940088026,10.292,SNUC5,Colon/Colorectal Cancer
ACH-000971,0.0454415774169487,12.718,HCT116,Colon/Colorectal Cancer
ACH-000982,-0.0231685124288,10.294,GP2D,Colon/Colorectal Cancer
ACH-000985,0.0303945368794057,12.186,LS411N,Colon/Colorectal Cancer
ACH-000986,-0.6583862550529849,10.004,HT115,Colon/Colorectal Cancer
ACH-000997,0.0116319063369328,10.78,HCT15,Colon/Colorectal Cancer
ACH-000998,0.0466134959103,12.615,CW2,Colon/Colorectal Cancer
ACH-001039,0.0460764070035627,12.058,COLO205,Colon/Colorectal Cancer
ACH-001061,-0.2175968484945455,13.142,DLD1,Colon/Colorectal Cancer
