ModelID,EGFR,Bosutinib_AUC,CellLine_Name,Cancer_Type
ACH-000012,-0.6092719448925041,6.2003,HCC827,Lung Cancer
ACH-000015,0.0228366059568226,12.441,NCIH1581,Lung Cancer
ACH-000021,-0.023151675816052,10.391,NCIH1693,Lung Cancer
ACH-000030,-0.8825472636578536,5.6703,PC14,Lung Cancer
ACH-000035,-0.0447870078124694,10.867,NCIH1650,Lung Cancer
ACH-000062,0.0923420188256,12.401,RERFLCMS,Lung Cancer
ACH-000066,-1.1636121234,7.4032,HCC4006,Lung Cancer
ACH-000086,-0.015883955523031,11.579,ACCMESO1,Lung Cancer
ACH-000092,0.0608361179898148,11.857,NCIH2452,Lung Cancer
ACH-000121,0.108349141438,10.442,NCIH2405,Lung Cancer
ACH-000153,-0.2603549806621105,11.183,NCIH2052,Lung Cancer
ACH-000161,-0.9137535662594568,10.763,CORL105,Lung Cancer
ACH-000176,-1.3252820320526504,10.541,LOUNH91,Lung Cancer
ACH-000261,-0.0018550650981272,11.335,RERFLCAI,Lung Cancer
ACH-000264,-0.0748486765623344,11.36,CALU6,Lung Cancer
ACH-000292,-0.0019097853787344,11.514,NCIH841,Lung Cancer
ACH-000311,-0.0161663505444575,12.355,NCIH2122,Lung Cancer
ACH-000319,-0.0266022592256913,11.725,MPP89,Lung Cancer
ACH-000327,-0.108520658792,12.176,NCIH1395,Lung Cancer
ACH-000335,-0.0680380617816471,7.8032,MSTO211H,Lung Cancer
ACH-000343,0.1076905082293185,10.105,NCIH522,Lung Cancer
ACH-000367,0.0049364483289661,13.406,NCIH226,Lung Cancer
ACH-000378,-0.0067597554431779,10.933,NCIH647,Lung Cancer
ACH-000390,-0.5986053025591931,9.3572,LUDLU1,Lung Cancer
ACH-000392,-0.281569284947,10.913,CALU3,Lung Cancer
ACH-000395,-0.121572538618757,11.374,NCIH520,Lung Cancer
ACH-000414,-0.1377394194128605,11.016,NCIH1944,Lung Cancer
ACH-000416,-0.0529259616602367,12.554,NCIH838,Lung Cancer
ACH-000431,-0.1759430285341441,11.711,NCIH1694,Lung Cancer
ACH-000434,-0.0367658951603741,10.545,NCIH1915,Lung Cancer
ACH-000438,-0.2552695934073534,11.115,LU65,Lung Cancer
ACH-000444,-0.2315479710510534,10.986,LU99,Lung Cancer
ACH-000447,-0.0554038800621,11.81,NCIH2228,Lung Cancer
ACH-000448,-0.6759735791061054,8.0463,NCIH1666,Lung Cancer
ACH-000454,-0.0227381210048309,10.993,HCC95,Lung Cancer
ACH-000463,-0.0017197899969585,12.862,NCIH460,Lung Cancer
ACH-000481,-0.0692413839446421,10.726,NCIH2170,Lung Cancer
ACH-000496,-0.3154032298065509,11.815,NCIH1792,Lung Cancer
ACH-000506,-0.0716632253456,10.591,NCIH146,Lung Cancer
ACH-000508,0.123001964988,12.675,CORL88,Lung Cancer
ACH-000510,-0.0035057532079913,12.212,NCIH1299,Lung Cancer
ACH-000511,-0.2221565455538933,12.113,CALU1,Lung Cancer
