Gene,Mean_DepScore,Mean_Zscore
MYB,-1.2812289875551053,-3.214609036808042
RUNX1,-0.8108825742703578,-3.0716092681474025
EBF1,-0.7762546531358484,-3.039975296174217
ATP6V0A2,-0.6422119908460195,-3.0127476486041824
CCND3,-1.0482961965529092,-2.6991675245194644
C10orf95,-0.6588453456186508,-2.5967424349673287
PIK3CD,-0.5718999695572409,-2.2895053948879167
GCLC,-0.5520091038955702,-2.1752049671292473
WDYHV1,-0.353945078859,-2.1564032133277835
MEF2C,-0.4291940346408875,-2.1237499468991454
FAM214B,-0.2060612601465,-2.1053843254677735
TRIM66,-0.7796530578354,-2.095108851851567
LEF1,-0.3209907290541547,-2.0765264064246054
SLC25A19,-0.4993605398538609,-2.0104146159637413
ARHGAP45,-0.42585853186737666,-1.9981133478474848
WDR78,-0.10932764213083801,-1.9101045341265657
DHODH,-0.8232958376250462,-1.9018955725943862
CBFB,-0.8903764074762892,-1.8893417727923008
TCF3,-0.41217371556015137,-1.8752279909572653
IKZF1,-0.36063680060691344,-1.8377809784714074
STMN1,-0.2929337445049934,-1.8302068113471657
WDR61,-0.9889967732348571,-1.8258902202396416
LCE1F,-1.6110510507302271,-1.8103202599916801
MAGEA3,-0.2957672095447857,-1.7636131997832611
SMARCC1,-0.5396410310764086,-1.7497410178734114
FLJ42393,-0.3045147694125,-1.7293648961544503
MON1A,-0.3655673707232851,-1.7261646422444021
C16orf52,-0.2371565618825,-1.7189426806114927
C8orf86,-0.18623971521114285,-1.7137789936771473
PAX5,-0.4283852210312714,-1.7069572006654332
BCL2,-0.32743059489762005,-1.7026615883569705
FAR1,-0.24766053425716653,-1.6991527075164885
SLC19A1,-0.19530644934720987,-1.6810823799300003
SFTA3,-0.19619971890015397,-1.6477858452991139
UMPS,-0.9583506542887434,-1.6453242811587512
FAM19A4,-0.38400942679315003,-1.6319413162336658
PPCS,-0.584512819774772,-1.6274905157855004
LOC107984065,-0.22248828964470002,-1.62600769483513
MSL3P1,-0.5363255170310001,-1.6182950597425942
ATP1B3,-0.7287439418704095,-1.6144986625200484
ERG,-0.22831208219770405,-1.6007124258996437
PPCDC,-0.5373174958073273,-1.5660291952292358
LOC440434,-0.3113381348276,-1.5588101776658907
COQ4,-1.1558889761167805,-1.553423479379835
NMNAT1,-0.754192080337859,-1.545219680320099
PAICS,-0.9853290708475619,-1.5206532475609926
LOC107987188,-0.20459525324746003,-1.519592965047138
MIR429,-0.294273544471,-1.5150593562245531
CARS2,-0.6687485135973531,-1.5050326884174394
MBNL1,-0.6247911893633828,-1.5045172162977887
ANKH,-0.32904368721108707,-1.4981750992541545
AMELY,0.0477494883512565,-1.48467776468312
FANCI,-0.5321394264362888,-1.4844706306985775
LIPT1,-0.4055162157741698,-1.4810397994846085
RHOXF2B&RHOXF2,-0.26931449175696004,-1.4695200713207464
KIR3DS1,-0.2801635860135857,-1.4669507900633392
SLC5A3,-0.4799932683788434,-1.4669486963950935
CDK6,-1.1048771743330768,-1.4630898372601437
CTPS1,-1.0842621481106047,-1.4548342857678944
SDHB,-0.9173305883729534,-1.4510795023783205
ZNF629,-0.2974441150800178,-1.4479398287986924
LOC107984021,-0.804657776609,-1.443642606613217
PEDS1,-0.2899143263148196,-1.4395346838831617
EP300,-0.7403036457223674,-1.4393442663423737
DCTD,-0.1982515077234987,-1.4373487444257589
PDIA3P1,-0.0586554361615,-1.4143746158226636
PLAAT1,-0.1208729372760582,-1.4093086785346058
UNK,-0.2342477863187826,-1.4070589946068894
CRYAA,-0.0847789488837272,-1.406360041692424
