Gene,Mean_DepScore,Mean_Zscore
SPI1,-0.517776106236721,-2.7571141078326944
LMO2,-0.41570056808597605,-2.7496295352413744
MYB,-1.055448498355518,-2.5268890724464588
CBFB,-1.0491860722089221,-2.3132659883800253
CEBPA,-0.4198847520161863,-2.2315100891245714
C10orf111,-0.406212580865,-2.195956471993758
RUNX1,-0.5891247041130766,-2.1778931774011574
SEPT14,-0.2060771957375,-2.0999801295977285
FER1L6-AS2,-0.231910775595,-2.058010379003849
SLC5A3,-0.5960225287343024,-2.038566234421239
CSF2RB,-0.3584265539459937,-1.8882769902308143
GSE1,-0.3017449618402433,-1.8759313160508067
C19orf68,-0.09590225591055,-1.8737578336770482
FAM45BP,-0.43646630308799994,-1.8230313451984594
SPACA6,-0.237132299741,-1.7969744400479026
LOC100131257,0.0467648853427,-1.785596666150872
GFI1,-0.24557857014011727,-1.7825613752792304
C9orf106,-0.2768407231865,-1.7690390100687878
FAM71F1,-0.1595065712041,-1.7447429161521177
JAK2,-0.2412462175631659,-1.735975183350191
WSB1,-0.2814917616434106,-1.7238043854616285
HYDIN2,-0.4159269283495,-1.716802462201982
LINC00304,-0.23925224217750002,-1.649861242108679
LOC100996911&LOC101929235,-0.00734085437203,-1.642916942421483
FLI1,-0.3968855129781879,-1.6297492774400408
DPY19L2P2,-0.1292033042064,-1.6188761279557506
CMIP,-0.7844555518520803,-1.6120985494580786
C2orf16,-0.187273969065,-1.5989482456545145
SSFA2,-0.11557624051105,-1.5969947785621694
C1orf228,-0.3745988516685,-1.5883007763092
IRF8,-0.21564916633086703,-1.5764902151013247
SEPT4,-0.181126413946,-1.5596286127128196
LINC00661,-0.27213173338700003,-1.5316218624449836
RCOR1,-0.5980586610797072,-1.5313063505854694
GOLGA8DP&GOLGA8EP&GOLGA8CP,-0.14975886099699998,-1.5140572355756932
DENND4A,-0.3665355279480463,-1.5001962566542137
MUM1L1,-0.29812751179700003,-1.478964717594208
LOC105372824,-0.027155581268265002,-1.4648816741428339
SIK3,-0.22913481511382092,-1.4562331045049406
IRF2BP2,-0.5074908149766659,-1.4497579353709862
LINC00200,-0.14304153713395,-1.4487125484935246
UPK3BL2,-0.706413938896,-1.445025316221528
CDRT4,-0.30778866570999996,-1.4443045452521641
ZEB2,-0.5846874546569978,-1.4381687876138645
LINC00336,-0.22648053992,-1.4299854678126067
LINC00951,-0.1518994381012,-1.4278085242424308
C12orf49,-0.16265873957683133,-1.412035173981208
RPL13AP17,-0.13704083589795,-1.4023023077221959
CDRT1,-0.21799399657140003,-1.3951313828515663
TAFAZZIN,-0.9149278363499886,-1.3892680953668333
MMGT1,-0.6258291634863078,-1.350185444535197
IPPK,-0.7514204657012226,-1.3496881827700595
LOC107984873,0.003640159805449999,-1.3292155260782135
LOC107987188,-0.16901231470201,-1.3166211023059013
LOC101926889,0.021026807076140002,-1.3163635597902088
LINC00523,-0.49938472559799996,-1.3108606577683988
GATA1,-0.2125157193181453,-1.3080485106879236
COQ10B,-0.29133653683130134,-1.2937568729264857
LDB1,-0.5570106207154917,-1.2815880164197127
LOC101929599,-0.2575862938095,-1.2794716677329963
KLHDC7B,-0.17579044102052865,-1.2752286621377462
MAGEA2B&MAGEA2,-0.2367309862663909,-1.2658692425354245
C11orf74,-0.0784743544913,-1.2642166371559238
FLJ42393,-0.2198907397475,-1.2633277471783466
GATA2,-0.14194276875139936,-1.2556129026141867
MICU1,-0.18441242188909432,-1.240514608875152
PAGE2&PAGE2B,-0.12607221065952104,-1.2380391677865255
MARCHF5,-0.9393460335866609,-1.2341898551168635
PEDS1,-0.2533322385528823,-1.2333781215702895
LCE1F,-1.4040314931158693,-1.2319206372580465
AFF1,-0.19196135943159587,-1.2281742770054171
WRB,-0.16691252821000002,-1.219102654187025
MICOS10,-0.8611795416510848,-1.2185790431011565
SARM1,-0.126811365117,-1.212315796230218
