Gene,Mean_DepScore,Mean_Zscore
ISL1,-0.7585919509320435,-3.760688784326893
HAND2,-0.4055556522555578,-3.0598535409084366
PHOX2A,-0.5524246767165464,-2.7985617996284398
MYCN,-0.6898112752240111,-2.6178376384363617
LDB1,-0.8513529588247295,-2.4094617221997465
GATA3,-0.6371340875493633,-2.257941644726161
IRS2,-0.8679707110460727,-2.2553552471791454
SOX11,-0.3602610691191271,-2.1631920335185706
LIN28B,-0.25049836034894984,-2.0358808866986102
WSB2,-0.47658781799340544,-1.9587531544468315
MSI2,-0.46261295880017833,-1.8585880860388648
CDK11B,-1.2433053697659997,-1.8177092070369847
ALK,-0.2293419363693662,-1.7870806843508442
HDAC2,-0.3479664812776084,-1.7822475261376058
RPL36A,-2.1903944769097596,-1.7782695464389775
FURIN,-0.6567372004796566,-1.733244169321819
RTTN,-0.8492306200844639,-1.7184817829207375
GGT1,-0.3301958279971249,-1.7094175634155764
NPPA-AS1,-0.25883975615053334,-1.6908031725893844
RPSA,-2.264887494525065,-1.6799261330140056
LGALS7&LGALS7B,-0.22666296129157779,-1.6641642214828112
ALDH3B1,-0.3448466161676978,-1.6580622015365394
ORAOV1,-0.17686366344685556,-1.6359274362314171
RPL23A,-2.217094617589522,-1.6206577363206582
GATA2,-0.19041953431612085,-1.6116067854489842
PPAN-P2RY11,-0.4587554854998888,-1.606491089329295
TFAP2B,-0.26281698292206296,-1.573217192005262
HOXA10-HOXA9,-0.13653687691304445,-1.5540187000220564
SNRPD3,-4.169381850348547,-1.520930142065385
BCLAF1,-0.9602199322432514,-1.5102697615168645
UBE3D,-0.5334483948713695,-1.4989790406625554
EXOSC2,-1.3795623169943991,-1.497355744932413
RPL35A,-1.8819567260540977,-1.4865993483315745
PPM1D,-0.5863340597636081,-1.4787999824423903
RPL6,-2.291184354984621,-1.4562019756248519
GJC1,-0.3207565624661807,-1.4556540787020014
RPL15,-4.487640157883643,-1.4467117801126959
KCNK4-TEX40&KCNK4,-0.23416470838166667,-1.4455810732269176
TUBE1,-0.7299091979590724,-1.4442096795579298
AFMID,-0.13132685268900363,-1.4256541626145105
